"Year","Event","DataCards","Deaths","Houses.Ruined","Affected","Monetary.LossUSD","Event_Severity","Event_factor"
"1966","FIRE",24,2,133,1201,21809,8,10
"1966","FLOOD",2,20,1,0,0,1000,11
"1966","PLAGUE",1,0,0,0,0,0,18
"1966","SURGE",1,0,8,0,0,0,26
"1967","ACCIDENT",1,0,0,0,0,0,1
"1967","DROUGHT",1,0,0,0,0,0,5
"1967","EPIDEMIC",4,3,0,0,0,75,8
"1967","EXPLOSION",3,2,3,0,0,67,9
"1967","FIRE",8,0,3,72,8279,0,10
"1967","FLOOD",1,0,0,0,0,0,11
"1967","FORESTFIRE",2,0,0,0,0,0,12
"1967","HAILSTORM",1,0,20,0,0,0,13
"1967","INTOXICACIÓN",2,26,0,0,0,1300,14
"1967","PLAGUE",2,0,0,0,0,0,18
"1967","STRONGWIND",1,0,20,150,170,0,24
"1967","STRUCTURE",1,0,2,0,0,0,25
"1968","ACCIDENT",3,4,0,3,0,133,1
"1968","DROUGHT",17,0,0,83500,0,0,5
"1968","ELECTRICSTORM",1,2,1,0,0,200,7
"1968","EPIDEMIC",5,9,0,0,0,180,8
"1968","EXPLOSION",6,2,0,0,0,33,9
"1968","FIRE",20,3,59,327,1905,15,10
"1968","FLOOD",10,24,100,542,68,240,11
"1968","FORESTFIRE",10,0,0,0,0,0,12
"1968","INTOXICACIÓN",5,6,0,0,0,120,14
"1968","OTHER",1,0,0,0,0,0,17
"1968","PLAGUE",16,0,0,0,59500,0,18
"1968","POLLUTION",1,0,0,0,0,0,19
"1968","RAIN",1,0,0,0,17,0,20
"1968","STRONGWIND",5,2,54,60,17170,40,24
"1968","SURGE",1,0,0,0,0,0,26
"1969","ACCIDENT",1,0,0,0,0,0,1
"1969","DROUGHT",1,0,0,0,0,0,5
"1969","FIRE",1,0,1,0,0,0,10
"1969","PLAGUE",1,0,0,0,0,0,18
"1970","ACCIDENT",1,1,0,0,0,100,1
"1970","EPIDEMIC",5,111,0,0,0,2220,8
"1970","FIRE",25,2,31,0,4721,8,10
"1970","FLOOD",25,0,1013,5000,3400,0,11
"1970","INTOXICACIÓN",1,0,0,0,0,0,14
"1970","LANDSLIDE",2,0,0,0,0,0,15
"1970","POLLUTION",1,0,0,0,0,0,19
"1970","RAIN",1,0,0,0,0,0,20
"1970","STRONGWIND",8,0,12,0,0,0,24
"1971","EPIDEMIC",1,0,0,0,0,0,8
"1971","FIRE",11,3,16,0,5491,27,10
"1971","FLOOD",4,2,0,0,0,50,11
"1971","PLAGUE",1,0,0,0,170,0,18
"1971","RAIN",1,0,0,0,0,0,20
"1972","AVALANCHE",1,2,0,0,0,200,3
"1972","DROUGHT",2,0,0,0,17000,0,5
"1972","EPIDEMIC",2,0,0,0,0,0,8
"1972","FIRE",20,2,152,0,17358,10,10
"1972","FLOOD",11,13,0,0,35700,118,11
"1972","PLAGUE",3,0,0,0,0,0,18
"1972","SPATE",1,0,0,0,8500,0,22
"1973","ACCIDENT",1,5,0,0,0,500,1
"1973","FIRE",9,1,15,0,2623,11,10
"1973","FLOOD",1,0,0,0,0,0,11
"1973","HAILSTORM",1,0,0,0,0,0,13
"1973","STRONGWIND",1,0,3,0,0,0,24
"1974","ACCIDENT",2,1,0,0,0,50,1
"1974","DROUGHT",1,0,0,0,0,0,5
"1974","EXPLOSION",4,0,1,0,0,0,9
"1974","FIRE",6,1,1,0,1581,17,10
"1974","FLOOD",3,0,13,100,3400,0,11
"1974","RAIN",1,1,0,0,0,100,20
"1974","STRONGWIND",1,0,0,0,0,0,24
"1975","DROUGHT",13,0,0,0,1224000,0,5
"1975","EPIDEMIC",19,29,0,0,0,153,8
"1975","EXPLOSION",1,1,0,0,0,100,9
"1975","FIRE",26,6,60,0,84911,23,10
"1975","FLOOD",55,10,335,0,188020,18,11
"1975","FORESTFIRE",4,0,0,0,0,0,12
"1975","HAILSTORM",1,0,0,0,0,0,13
"1975","INTOXICACIÓN",3,2,0,0,0,67,14
"1975","OTHER",1,0,0,0,0,0,17
"1975","PLAGUE",7,0,0,0,0,0,18
"1975","RAIN",1,0,0,0,0,0,20
"1975","STORM",2,1,1,0,0,50,23
"1975","STRONGWIND",2,0,0,0,0,0,24
"1975","SURGE",1,0,3,0,68,0,26
"1976","DROUGHT",2,0,0,0,0,0,5
"1976","EPIDEMIC",2,0,0,0,0,0,8
"1976","EXPLOSION",1,1,0,0,0,100,9
"1976","FIRE",5,0,22,17,745,0,10
"1976","INTOXICACIÓN",2,0,0,0,0,0,14
"1976","PLAGUE",3,0,0,3000,1700,0,18
"1976","POLLUTION",1,0,0,0,0,0,19
"1976","RAIN",1,0,0,0,0,0,20
"1976","STORM",2,6,0,0,0,300,23
"1977","DROUGHT",1,0,0,0,0,0,5
"1977","EPIDEMIC",14,9,0,0,0,64,8
"1977","FIRE",16,6,30,0,16702,38,10
"1977","FLOOD",8,2,114,0,850,25,11
"1977","HAILSTORM",1,0,0,0,0,0,13
"1977","LANDSLIDE",1,0,1,6,0,0,15
"1977","PLAGUE",1,0,0,0,0,0,18
"1977","RAIN",1,0,0,0,0,0,20
"1977","STRONGWIND",3,0,6,0,0,0,24
"1977","STRUCTURE",3,6,0,0,0,200,25
"1978","EPIDEMIC",10,0,0,0,0,0,8
"1978","EXPLOSION",3,5,3,15,0,167,9
"1978","FIRE",22,6,32,3,17765,27,10
"1978","FLOOD",4,0,0,0,34000,0,11
"1978","LEAK",1,0,0,0,0,0,16
"1978","RAIN",2,3,0,0,0,150,20
"1978","STRONGWIND",1,0,0,0,340,0,24
"1979","DROUGHT",2,0,0,0,0,0,5
"1979","EARTHQUAKE",2,0,0,0,0,0,6
"1979","EPIDEMIC",1,0,0,0,0,0,8
"1979","FIRE",8,4,17,0,8950,50,10
"1979","FLOOD",15,2,26,0,0,13,11
"1979","FORESTFIRE",1,0,0,0,0,0,12
"1979","OTHER",2,1,0,0,0,50,17
"1979","RAIN",4,3,55,0,0,75,20
"1979","SPATE",1,0,0,0,0,0,22
"1980","FIRE",17,4,10,0,64277,24,10
"1980","FLOOD",1,0,0,0,0,0,11
"1980","HAILSTORM",1,0,0,0,0,0,13
"1980","LEAK",1,0,0,0,0,0,16
"1980","PLAGUE",1,0,0,0,0,0,18
"1981","EPIDEMIC",3,4,0,0,0,133,8
"1981","EXPLOSION",2,2,0,0,0,100,9
"1981","FIRE",14,0,331,0,27030,0,10
"1981","FLOOD",32,29,106,13000,8500,91,11
"1981","INTOXICACIÓN",1,5,0,0,0,500,14
"1981","LANDSLIDE",2,0,0,0,0,0,15
"1981","OTHER",3,3,0,0,0,100,17
"1981","PLAGUE",1,0,0,0,0,0,18
"1981","RAIN",8,4,0,0,5100,50,20
"1981","SPATE",1,0,0,0,1700,0,22
"1981","STORM",1,0,0,0,0,0,23
"1981","STRONGWIND",1,0,0,0,0,0,24
"1981","STRUCTURE",1,1,0,0,0,100,25
"1982","ACCIDENT",1,3,0,0,0,300,1
"1982","DROUGHT",6,0,0,0,51000,0,5
"1982","EPIDEMIC",4,5,0,0,0,125,8
"1982","EXPLOSION",1,0,0,0,0,0,9
"1982","FIRE",14,0,36,0,11475,0,10
"1982","FLOOD",5,0,0,0,0,0,11
"1982","LANDSLIDE",1,0,35,0,0,0,15
"1982","PLAGUE",9,0,0,0,0,0,18
"1982","STRONGWIND",1,0,0,0,0,0,24
"1983","ELECTRICSTORM",2,0,0,0,0,0,7
"1983","EPIDEMIC",11,6,0,250,0,55,8
"1983","EXPLOSION",2,4,0,0,0,200,9
"1983","FIRE",9,3,34,0,850,33,10
"1983","FLOOD",9,1,1100,0,0,11,11
"1983","FORESTFIRE",3,0,0,0,0,0,12
"1983","OTHER",1,1,0,0,0,100,17
"1983","PLAGUE",3,0,0,0,0,0,18
"1983","POLLUTION",1,0,0,0,0,0,19
"1983","RAIN",1,0,0,0,0,0,20
"1983","STORM",1,3,0,0,0,300,23
"1983","STRONGWIND",11,0,0,0,0,0,24
"1984","DROUGHT",2,0,0,10000,0,0,5
"1984","EARTHQUAKE",1,0,0,0,0,0,6
"1984","FIRE",5,0,7,0,43894,0,10
"1984","FLOOD",1,0,0,0,0,0,11
"1984","FORESTFIRE",1,0,0,0,0,0,12
"1984","HAILSTORM",1,0,0,0,0,0,13
"1984","STRONGWIND",1,0,0,0,0,0,24
"1985","ACCIDENT",1,4,0,0,0,400,1
"1985","COASTLINE",1,0,0,0,0,0,4
"1985","EPIDEMIC",1,0,0,0,0,0,8
"1985","EXPLOSION",1,5,0,0,0,500,9
"1985","FIRE",4,5,23,100,0,125,10
"1985","FLOOD",3,0,0,0,0,0,11
"1985","FORESTFIRE",11,0,0,0,0,0,12
"1985","OTHER",2,2,0,0,0,100,17
"1985","POLLUTION",1,0,0,0,0,0,19
"1985","RAIN",7,12,0,0,0,171,20
"1985","STRUCTURE",3,3,0,0,2975,100,25
"1986","EXPLOSION",1,1,0,0,0,100,9
"1986","FIRE",7,4,7,0,35870,57,10
"1986","FLOOD",5,1,0,0,0,20,11
"1986","HAILSTORM",2,0,0,0,0,0,13
"1986","LANDSLIDE",1,6,0,0,0,600,15
"1986","STRONGWIND",1,0,8,0,0,0,24
"1987","EARTHQUAKE",2,0,0,0,0,0,6
"1987","FIRE",1,0,0,0,340000,0,10
"1987","FLOOD",20,10,0,0,0,50,11
"1987","FORESTFIRE",1,0,0,0,0,0,12
"1987","LANDSLIDE",2,0,5,0,0,0,15
"1987","STRONGWIND",2,0,0,0,0,0,24
"1988","EPIDEMIC",5,0,0,0,0,0,8
"1988","FIRE",40,21,48,0,282897,52,10
"1988","FLOOD",39,11,125,0,4080,28,11
"1988","FORESTFIRE",2,0,0,0,0,0,12
"1988","LANDSLIDE",3,2,3,0,0,67,15
"1988","LEAK",1,0,0,0,0,0,16
"1988","PLAGUE",14,0,0,0,0,0,18
"1988","RAIN",32,2,6,0,0,6,20
"1988","STRONGWIND",10,0,0,0,0,0,24
"1989","DROUGHT",1,0,0,0,0,0,5
"1989","EPIDEMIC",1,2,0,0,0,200,8
"1989","EXPLOSION",2,2,0,0,0,100,9
"1989","FIRE",31,3,49,90,545581,10,10
"1989","FLOOD",3,8,0,0,0,267,11
"1989","FORESTFIRE",2,0,0,0,0,0,12
"1989","LEAK",1,0,0,0,0,0,16
"1989","PLAGUE",8,0,0,0,17000,0,18
"1989","RAIN",2,1,0,0,0,50,20
"1989","STRONGWIND",4,0,12,0,0,0,24
"1990","DROUGHT",5,0,0,0,0,0,5
"1990","EARTHQUAKE",1,0,0,0,0,0,6
"1990","EPIDEMIC",1,0,0,0,0,0,8
"1990","EXPLOSION",1,0,0,0,0,0,9
"1990","FIRE",43,11,65,0,177361,26,10
"1990","FLOOD",17,2,100,0,27132,12,11
"1990","FORESTFIRE",7,0,0,0,0,0,12
"1990","LEAK",1,1,0,0,0,100,16
"1990","PLAGUE",8,0,0,0,204000,0,18
"1990","RAIN",7,1,0,0,0,14,20
"1990","STRONGWIND",3,0,5,0,0,0,24
"1991","DROUGHT",23,0,0,0,19250000,0,5
"1991","EARTHQUAKE",1,0,0,0,0,0,6
"1991","EPIDEMIC",31,80,0,0,0,258,8
"1991","EXPLOSION",7,6,2,0,0,86,9
"1991","FIRE",18,1,57,0,102595,6,10
"1991","FLOOD",15,0,11,0,0,0,11
"1991","FORESTFIRE",9,0,0,0,15300000,0,12
"1991","HAILSTORM",1,0,0,0,0,0,13
"1991","LEAK",1,0,0,0,0,0,16
"1991","OTHER",2,1,0,0,0,50,17
"1991","PLAGUE",5,0,0,0,2550,0,18
"1991","POLLUTION",1,0,0,0,0,0,19
"1991","RAIN",2,0,0,0,0,0,20
"1991","SPATE",1,12,50,0,0,1200,22
"1991","STRONGWIND",4,0,0,0,0,0,24
"1991","STRUCTURE",5,3,3,0,0,60,25
"1991","SURGE",4,1,106,0,0,25,26
"1992","ACCIDENT",1,4,0,21,0,400,1
"1992","COASTLINE",1,0,0,0,0,0,4
"1992","DROUGHT",17,0,0,0,0,0,5
"1992","EPIDEMIC",23,29,0,0,0,126,8
"1992","FIRE",3,0,40,0,17000,0,10
"1992","FLOOD",10,5,1,112500,408000,50,11
"1992","FORESTFIRE",2,0,0,0,0,0,12
"1992","LEAK",1,0,0,0,0,0,16
"1992","PLAGUE",18,0,0,5000,5797000,0,18
"1992","POLLUTION",7,42,0,0,0,600,19
"1992","RAIN",5,0,0,0,6800,0,20
"1992","STRONGWIND",3,0,1,0,0,0,24
"1992","STRUCTURE",2,3,0,0,0,150,25
"1993","ALLUVION",4,0,0,0,0,0,2
"1993","DROUGHT",1,0,0,0,0,0,5
"1993","EARTHQUAKE",3,0,0,0,0,0,6
"1993","EPIDEMIC",13,35,0,0,0,269,8
"1993","FIRE",17,15,45,15,22950,88,10
"1993","FLOOD",44,41,557,3305,6800,93,11
"1993","FORESTFIRE",2,0,0,0,0,0,12
"1993","LANDSLIDE",7,4,6,50,0,57,15
"1993","PLAGUE",5,0,0,0,0,0,18
"1993","RAIN",2,2,0,0,0,100,20
"1993","STORM",4,0,0,0,0,0,23
"1993","STRONGWIND",18,3,5,500,306000,17,24
"1993","STRUCTURE",1,1,0,0,0,100,25
"1994","ACCIDENT",1,60,0,0,0,6000,1
"1994","DROUGHT",7,0,0,0,0,0,5
"1994","EARTHQUAKE",5,0,0,0,0,0,6
"1994","EPIDEMIC",3,5,0,0,0,167,8
"1994","EXPLOSION",4,2,4,1,0,50,9
"1994","FIRE",48,15,195,323,348058,31,10
"1994","FLOOD",8,22,1010,1350,0,275,11
"1994","FORESTFIRE",6,0,0,0,0,0,12
"1994","LANDSLIDE",4,9,3,0,0,225,15
"1994","OTHER",1,2,0,0,0,200,17
"1994","PLAGUE",4,0,0,0,5100000,0,18
"1994","POLLUTION",2,0,0,0,0,0,19
"1994","STRONGWIND",3,0,28,0,0,0,24
"1995","DROUGHT",9,0,0,0,459000,0,5
"1995","FIRE",11,1,35,600,134470,9,10
"1995","FLOOD",11,12,6,0,0,109,11
"1995","FORESTFIRE",2,0,0,0,0,0,12
"1995","LANDSLIDE",3,2,0,0,0,67,15
"1995","LEAK",3,0,0,0,0,0,16
"1995","PLAGUE",17,0,0,0,8517000,0,18
"1995","POLLUTION",5,0,0,0,0,0,19
"1995","RAIN",1,0,0,0,0,0,20
"1995","STORM",7,0,0,0,0,0,23
"1995","STRONGWIND",4,0,120,0,1003000,0,24
"1995","SURGE",1,0,10,0,0,0,26
"1996","DROUGHT",1,0,0,0,0,0,5
"1996","FIRE",2,2,8,300,0,100,10
"1996","FLOOD",15,2,12,0,510000,13,11
"1996","LANDSLIDE",1,0,4,0,0,0,15
"1996","OTHER",1,2,0,0,0,200,17
"1996","STRONGWIND",7,0,0,0,3850000,0,24
"1997","ALLUVION",1,0,0,0,0,0,2
"1997","DROUGHT",26,0,0,0,0,0,5
"1997","EPIDEMIC",1,3,0,0,0,300,8
"1997","FIRE",4,8,110,0,85,200,10
"1997","FLOOD",2,2,0,0,0,100,11
"1997","FORESTFIRE",4,0,0,0,0,0,12
"1997","PLAGUE",3,0,0,0,0,0,18
"1997","POLLUTION",5,0,0,0,0,0,19
"1997","STRONGWIND",1,0,0,0,0,0,24
"1998","DROUGHT",18,0,0,0,0,0,5
"1998","EPIDEMIC",10,3,0,0,0,30,8
"1998","EXPLOSION",1,1,0,0,0,100,9
"1998","FIRE",16,3,28,40,187000,19,10
"1998","FLOOD",54,7,1000,0,0,13,11
"1998","FORESTFIRE",4,0,0,0,0,0,12
"1998","INTOXICACIÓN",1,0,0,0,0,0,14
"1998","LANDSLIDE",3,5,0,0,0,167,15
"1998","OTHER",1,0,0,0,0,0,17
"1998","PLAGUE",18,0,0,0,10370000,0,18
"1998","RAIN",9,2,0,0,0,22,20
"1998","STORM",6,1,0,0,0,17,23
"1998","STRONGWIND",7,1,0,0,172703,14,24
"1999","ACCIDENT",3,8,0,0,0,267,1
"1999","AVALANCHE",1,3,0,0,0,300,3
"1999","EARTHQUAKE",1,0,0,0,0,0,6
"1999","EPIDEMIC",4,4,0,0,0,100,8
"1999","EXPLOSION",2,8,6,0,0,400,9
"1999","FIRE",11,11,77,0,34000,100,10
"1999","FLOOD",14,4,105,500,0,29,11
"1999","FORESTFIRE",1,0,0,0,0,0,12
"1999","HAILSTORM",1,0,0,0,119000,0,13
"1999","INTOXICACIÓN",1,0,0,0,0,0,14
"1999","LANDSLIDE",1,0,50,0,0,0,15
"1999","LEAK",1,0,0,0,0,0,16
"1999","PLAGUE",10,0,0,0,0,0,18
"1999","POLLUTION",9,0,0,0,0,0,19
"1999","STRONGWIND",6,0,14,0,159982,0,24
"1999","SURGE",1,0,3,13,0,0,26
"2000","ACCIDENT",3,3,0,0,0,100,1
"2000","DROUGHT",4,0,0,0,0,0,5
"2000","EPIDEMIC",35,1,0,0,0,3,8
"2000","EXPLOSION",1,0,100,0,850000,0,9
"2000","FIRE",6,15,1,0,0,250,10
"2000","FLOOD",17,1,40,225,0,6,11
"2000","FORESTFIRE",3,0,0,0,425,0,12
"2000","LANDSLIDE",3,0,122,585,0,0,15
"2000","LEAK",1,0,0,0,0,0,16
"2000","OTHER",2,0,0,0,0,0,17
"2000","PLAGUE",24,0,0,0,170000,0,18
"2000","POLLUTION",6,0,0,0,0,0,19
"2000","RAIN",10,0,0,0,0,0,20
"2000","SEDIMENTATION",1,0,0,0,0,0,21
"2000","SPATE",1,2,0,0,0,200,22
"2000","STRONGWIND",15,0,41,0,8500,0,24
"2000","STRUCTURE",1,0,0,0,0,0,25
