Year,Event, DataCards, Deaths, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Losses $USD, Losses $Local
1988,ACCIDENT,4,0,0,4,6,0,0,0
1988,EARTHQUAKE,5,0,0,190,350,75,20000,50000
1988,ELECTRICSTORM,1,5,1,0,0,0,0,0
1988,EPIDEMIC,7,1,0,0,0,0,0,0
1988,EXPLOSION,4,0,0,2,0,0,0,0
1988,FIRE,53,8,40,13,386,0,5576063,16398300
1988,FLOOD,34,3,123,145,984,2550,51300,141000
1988,FORESTFIRE,7,2,42,0,5,0,8000,40000
1988,FROST,2,14,0,0,0,0,0,0
1988,LANDSLIDE,34,31,87,180,845,2,94000,235000
1988,RAIN,1,0,0,0,0,0,0,0
1988,STORM,4,0,0,10,0,0,0,0
1988,STRONGWIND,12,0,0,951,550,0,1205120,6015600
1988,SURGE,1,0,42,0,200,0,970400,2620000
1989,ACCIDENT,3,0,1,1,5,0,0,0
1989,DROUGHT,1,0,0,0,0,0,0,0
1989,ELECTRICSTORM,3,4,0,0,0,0,0,0
1989,EPIDEMIC,10,19,0,0,0,0,0,0
1989,ERUPTION,1,0,0,0,0,0,0,0
1989,EXPLOSION,3,0,1,0,5,0,6300,25000
1989,FIRE,83,9,86,24,378,663,2016638,7094200
1989,FLOOD,26,0,8,2093,130,59400,113400,350000
1989,FORESTFIRE,4,0,0,0,0,0,0,0
1989,FROST,3,36,0,0,0,0,1333333,4000000
1989,LANDSLIDE,29,26,128,91,610,12000,1250000,5000000
1989,RAIN,1,0,0,0,0,0,0,0
1989,STORM,1,0,0,0,0,0,0,0
1989,STRONGWIND,12,0,9,137,50,500,16900,46000
1989,STRUCTURE,2,1,1,0,0,0,0,0
1990,ACCIDENT,2,30,16,0,80,0,0,0
1990,EPIDEMIC,7,291,0,0,0,0,0,0
1990,ERUPTION,7,4,0,0,0,0,0,0
1990,EXPLOSION,3,0,1,2,5,0,8000,40000
1990,FIRE,48,10,67,1,240,2,2355820,12588000
1990,FLOOD,21,1,0,0,300000,0,2050000,10250000
1990,FORESTFIRE,3,0,0,0,0,0,0,0
1990,LANDSLIDE,13,9,43,0,35,0,844000,4220000
1990,LEAK,1,0,0,0,0,10,0,0
1990,RAIN,2,0,0,0,0,0,0,0
1990,SPATE,1,0,0,0,0,0,0,0
1990,STORM,3,3,0,100,0,0,0,0
1990,STRONGWIND,1,0,0,0,0,0,0,0
1991,EARTHQUAKE,2,25,2300,0,10000,0,60000000,300000000
1991,ERUPTION,1,0,0,0,0,0,0,0
1991,EXPLOSION,6,24,9,0,40,0,30000,150000
1991,FIRE,57,8,94,0,393,0,4542000,22660000
1991,FLOOD,3,0,0,0,0,0,0,0
1991,FORESTFIRE,4,0,1,0,5,0,0,0
1991,FROST,2,0,0,0,0,0,0,0
1991,LANDSLIDE,10,8,37,0,190,0,0,0
1991,LEAK,2,0,0,0,0,0,0,0
1991,RAIN,2,1,0,0,0,0,0,0
1991,SPATE,4,4,0,0,0,0,0,0
1991,STORM,1,4,0,0,0,0,0,0
1992,EPIDEMIC,15,126,0,0,0,0,0,0
1992,EXPLOSION,2,0,1,0,5,0,0,0
1992,FIRE,61,18,41,303,1116,0,2377000,11405000
1992,FLOOD,15,0,361,150,4805,700,200200000,101000000
1992,FORESTFIRE,2,0,0,0,0,0,0,0
1992,LANDSLIDE,11,8,5,0,20,0,0,0
1992,RAIN,7,4,2,0,10,0,4050000,20250000
1992,SPATE,3,1,1,0,5,0,0,0
1992,STORM,1,0,0,0,0,0,0,0
1992,STRONGWIND,2,1,5,0,25,0,0,0
1993,EARTHQUAKE,3,4,1,50,5,300,0,0
1993,EPIDEMIC,23,109,0,0,0,0,0,0
1993,ERUPTION,5,0,0,0,0,0,0,0
1993,FIRE,37,11,48,0,1952,0,2257000,11285000
1993,FLOOD,12,0,20,400,4700,0,0,0
1993,FORESTFIRE,2,0,0,0,0,0,0,0
1993,FROST,10,3,0,0,0,0,700000,3000000
1993,HAILSTORM,2,0,0,0,0,0,100000,500000
1993,LANDSLIDE,21,10,4,0,19,0,0,0
1993,RAIN,2,0,0,0,0,0,0,0
1993,SPATE,8,7,0,0,480,0,300000,1500000
1993,STORM,2,1,0,0,0,0,0,0
1993,STRONGWIND,7,1,25,40,130,0,0,0
1994,DROUGHT,5,0,0,0,0,0,0,0
1994,EARTHQUAKE,4,0,0,0,0,0,0,0
1994,EPIDEMIC,16,56,0,0,0,0,0,0
1994,ERUPTION,3,0,0,0,0,0,0,0
1994,EXPLOSION,2,0,2,0,10,0,0,0
1994,FIRE,35,3,21,1,104,1500,6086000,25430000
1994,FLOOD,13,0,0,66,8000,273,160000,800000
1994,FORESTFIRE,1,0,0,0,0,0,30000,150000
1994,LANDSLIDE,18,11,3,25,11,150,0,0
1994,LEAK,1,0,0,0,0,0,0,0
1994,SPATE,3,9,0,0,0,0,60000,300000
1994,STORM,1,1,0,0,0,0,0,0
1994,STRONGWIND,1,0,0,9,0,45,0,0
1995,ACCIDENT,4,23,8,0,25,0,0,0
1995,EARTHQUAKE,4,1,7,0,30,0,0,0
1995,ELECTRICSTORM,1,2,0,0,0,0,0,0
1995,EPIDEMIC,6,12,0,0,0,0,0,0
1995,EXPLOSION,4,2,0,14,0,60,0,0
1995,FIRE,33,9,46,8,191,0,4684998,23725000
1995,FLOOD,30,6,18,879,5000,2500,87939096,87712350
1995,FORESTFIRE,3,0,0,0,0,0,0,0
1995,FROST,1,0,0,0,0,0,0,0
1995,LANDSLIDE,22,21,9,10,47,2000,4000,20000
1995,LEAK,1,1,0,0,0,0,0,0
1995,POLLUTION,1,0,0,0,0,0,0,0
1995,RAIN,2,0,0,0,0,0,1138690,6488285
1995,SPATE,3,0,3,0,15,0,0,0
1995,STORM,2,0,30,0,150,0,0,0
1995,STRONGWIND,3,0,0,80,0,400,0,0
1996,BIOLOGICAL,1,0,0,0,0,0,0,0
1996,EARTHQUAKE,1,0,0,0,0,0,0,0
1996,EPIDEMIC,16,11,0,0,0,0,0,0
1996,ERUPTION,2,0,0,0,0,0,0,0
1996,EXPLOSION,4,2,0,3,0,0,0,0
1996,FIRE,50,7,43,8,419,15,3908000,24133000
1996,FLOOD,38,8,1090,2021,22376,5484,1915000,11150000
1996,FORESTFIRE,4,0,0,0,0,0,0,0
1996,FROST,2,0,0,0,0,0,0,0
1996,LANDSLIDE,53,32,34,125,1090,8975,350000,2000000
1996,LEAK,2,0,0,0,0,2000,0,0
1996,PANIC,1,84,0,0,0,0,0,0
1996,POLLUTION,3,1,0,0,0,1600,0,0
1996,RAIN,8,2,0,0,0,0,0,0
1996,SEDIMENTATION,3,0,0,0,0,0,350000,2100000
1996,SPATE,10,6,24,70,111,1100,0,0
1996,STORM,2,0,0,0,0,0,180000,1000000
1996,STRONGWIND,3,0,1,15,6,75,0,0
1996,SURGE,1,0,0,150,0,0,34000,200000
1997,ACCIDENT,1,0,1,0,6,0,0,0
1997,BIOLOGICAL,1,0,0,0,0,0,0,0
1997,EARTHQUAKE,1,0,0,0,0,0,0,0
1997,ELECTRICSTORM,1,0,0,0,0,0,0,0
1997,EPIDEMIC,13,42,0,0,0,0,0,0
1997,ERUPTION,1,0,0,0,0,0,180000,1000000
1997,FIRE,68,13,50,32,397,43,3635700,21999000
1997,FLOOD,39,6,91,383,20981,786,0,0
1997,FORESTFIRE,4,0,0,0,0,0,0,0
1997,FROST,4,6,0,0,0,0,0,0
1997,HAILSTORM,1,0,0,100,0,500,0,0
1997,LANDSLIDE,50,27,100,202,1493,2300,0,0
1997,POLLUTION,3,0,0,0,0,0,0,0
1997,RAIN,1,0,0,0,0,0,0,0
1997,SEDIMENTATION,1,0,0,0,0,0,0,0
1997,STORM,4,0,1,35,5,0,0,0
1998,DROUGHT,1,0,0,0,0,0,0,0
1998,EARTHQUAKE,4,1,34,137,275,0,0,0
1998,ELECTRICSTORM,1,2,0,0,0,0,0,0
1998,EPIDEMIC,8,7,0,0,0,0,0,0
1998,ERUPTION,5,0,0,0,0,0,0,0
1998,EXPLOSION,4,0,1,1,0,0,0,0
1998,FIRE,84,22,113,14,2474,910,5910066,36471000
1998,FLOOD,65,19,645,919,27621,120696,0,0
1998,FORESTFIRE,57,3,56,0,0,0,6000,35000
1998,FROST,2,0,0,0,0,0,0,0
1998,LANDSLIDE,100,115,445,428,705,6780,2500000,15000000
1998,LEAK,1,2,0,0,0,0,0,0
1998,POLLUTION,5,0,0,0,0,12000,0,0
1998,RAIN,423,196,1405,19277,84775,659140,0,0
1998,STRONGWIND,3,0,0,200,1600,0,0,0
