Year,Event, DataCards, Deaths, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Losses $USD, Losses $Local
1970,DROUGHT,323,0,0,0,0,1850000,0,0
1970,EARTHQUAKE,1,0,0,0,0,0,0,0
1970,ELECTRICSTORM,2,6,0,0,0,0,0,0
1970,EPIDEMIC,85,1492,0,0,0,0,0,0
1970,EXPLOSION,18,32,7,25,0,0,0,0
1970,FIRE,86,72,327,20,1231,574,0,8289000
1970,FLOOD,81,26,614,9500,34268,5000,0,140200000
1970,FORESTFIRE,31,0,0,0,0,0,0,100000
1970,FROST,33,0,0,0,0,0,0,6250000
1970,HAILSTORM,3,0,31,200,800,0,0,0
1970,HEATWAVE,23,50,0,0,0,0,0,0
1970,Hundimiento,1,0,0,0,0,0,0,0
1970,Intoxicación,4,5,0,0,0,0,0,0
1970,LANDSLIDE,20,0,0,0,0,0,0,0
1970,LEAK,4,0,0,0,0,0,0,0
1970,Onda fría,14,268,0,0,0,0,0,0
1970,PANIC,1,2,0,0,0,0,0,0
1970,PLAGUE,84,19,0,0,0,0,0,28000
1970,POLLUTION,28,45,0,0,0,0,0,0
1970,Racionamiento,2,0,0,0,0,300000,0,0
1970,RAIN,25,0,0,0,0,50000,0,0
1970,SNOWSTORM,16,0,0,0,0,0,0,0
1970,SPATE,1,3,0,0,0,0,0,0
1970,STORM,22,14,40,1800,7000,0,0,1000000
1970,STRONGWIND,22,0,0,0,0,0,0,800000
1970,STRUCTURE,3,3,0,0,0,4,0,0
1970,SURGE,14,0,0,0,0,0,0,0
1971,ACCIDENT,2,24,0,0,0,0,0,0
1971,BIOLOGICAL,9,0,0,0,0,0,0,0
1971,DROUGHT,206,0,0,0,0,0,0,0
1971,EPIDEMIC,59,23,0,0,0,0,0,1000000
1971,EXPLOSION,20,29,8,10,0,64,0,5050000
1971,FIRE,57,25,251,4,500,0,0,103553000
1971,FLOOD,76,8,165,30230,128261,0,0,12000000
1971,FORESTFIRE,42,0,0,0,0,0,0,0
1971,FROST,10,0,0,0,0,6000,0,25000000
1971,HAILSTORM,3,0,0,0,0,0,0,0
1971,HEATWAVE,20,121,0,0,0,0,0,0
1971,Intoxicación,4,6,0,0,0,0,0,0
1971,LANDSLIDE,9,12,4,0,0,0,0,0
1971,LEAK,1,0,0,0,0,0,0,0
1971,Onda fría,4,14,0,0,0,0,0,0
1971,PANIC,1,6,0,0,0,0,0,0
1971,PLAGUE,53,0,0,0,0,0,0,0
1971,POLLUTION,18,0,0,0,0,0,0,0
1971,RAIN,3,0,0,1500,5000,0,0,50000000
1971,SNOWSTORM,10,5,8,0,0,0,0,0
1971,SPATE,2,0,0,0,0,0,0,0
1971,STORM,54,0,0,3350,9400,0,0,100000
1971,STRONGWIND,40,0,250,0,1250,0,0,0
1971,STRUCTURE,5,10,11,0,7,0,0,0
1971,SURGE,34,0,0,0,0,0,0,0
1972,ACCIDENT,3,4,0,0,0,0,0,0
1972,ALLUVION,3,0,1500,0,6000,25000,0,0
1972,DROUGHT,66,0,0,0,0,0,0,0
1972,EARTHQUAKE,1,0,0,0,0,0,0,0
1972,ELECTRICSTORM,1,2,0,0,0,0,0,0
1972,EPIDEMIC,78,452,0,0,0,0,0,0
1972,EXPLOSION,23,40,28,53,0,0,0,7730000
1972,FIRE,49,10,317,1,654,0,0,507540000
1972,FLOOD,71,47,667,23550,117650,70000,0,180500000
1972,FORESTFIRE,17,0,0,0,0,0,0,10000000
1972,HAILSTORM,1,0,0,0,0,0,0,0
1972,HEATWAVE,7,24,0,0,0,0,0,0
1972,Intoxicación,3,16,0,0,0,0,0,0
1972,LANDSLIDE,11,12,4,0,0,0,0,0
1972,LEAK,1,0,0,0,0,0,0,0
1972,Onda fría,1,6,0,0,0,0,0,0
1972,PLAGUE,33,0,0,0,0,0,0,0
1972,POLLUTION,7,15,0,0,0,0,0,0
1972,Racionamiento,1,0,0,0,0,0,0,0
1972,SNOWSTORM,2,0,0,0,0,0,0,0
1972,SPATE,1,2,0,0,0,0,0,0
1972,STORM,35,35,805,4715,3730,0,0,10000000
1972,STRONGWIND,4,3,170,0,680,0,0,0
1972,STRUCTURE,4,6,1,1,0,200,0,15000
1972,SURGE,1,0,0,0,0,0,0,0
1973,ACCIDENT,3,6,0,0,0,0,0,0
1973,DROUGHT,54,0,0,0,0,0,0,0
1973,EARTHQUAKE,39,1277,15710,47575,80000,0,0,250000000
1973,ELECTRICSTORM,2,1,0,0,0,0,0,0
1973,EPIDEMIC,5,8,0,0,0,0,0,0
1973,ERUPTION,11,30,0,1500,15000,0,0,0
1973,EXPLOSION,9,27,1,4,0,0,0,250000
1973,FIRE,13,4,35,37,100,0,0,1505750000
1973,FLOOD,114,128,917,42089,132240,303500,0,140000000
1973,FORESTFIRE,17,0,0,0,0,0,0,50000000
1973,FROST,7,2,0,0,0,1500,0,304000000
1973,HEATWAVE,7,142,0,0,0,0,0,0
1973,Hundimiento,1,7,5,0,0,0,0,0
1973,Intoxicación,2,41,0,0,0,0,0,0
1973,LANDSLIDE,8,21,9,104,432,0,0,0
1973,Onda fría,16,0,0,0,0,0,0,0
1973,PLAGUE,15,0,0,0,0,0,0,0
1973,POLLUTION,3,0,0,0,0,10000,0,0
1973,RAIN,35,0,0,0,0,0,0,100000000
1973,SNOWSTORM,23,38,0,0,0,0,0,0
1973,SPATE,4,29,7,10000,0,200000,0,0
1973,STORM,33,3,12,1803,6000,0,0,36000000
1973,STRONGWIND,19,3,0,0,0,0,0,0
1973,STRUCTURE,1,0,0,0,0,0,0,0
1974,ACCIDENT,6,13,0,0,0,0,0,0
1974,BIOLOGICAL,3,0,0,0,0,0,0,0
1974,DROUGHT,185,0,0,0,0,0,0,1405000000
1974,EARTHQUAKE,1,0,0,0,0,0,0,0
1974,ELECTRICSTORM,7,8,1,0,0,10000000,0,0
1974,EPIDEMIC,31,24,0,0,0,0,0,0
1974,ERUPTION,11,0,0,0,0,0,0,0
1974,EXPLOSION,40,17,3,9,0,100,0,3300000
1974,FIRE,80,79,709,12,3192,16,0,731406500
1974,FLOOD,84,1,40,3537,10700,4020,0,3110000
1974,FORESTFIRE,10,0,1,0,0,0,0,3000000
1974,FROST,21,0,0,0,0,0,0,0
1974,HAILSTORM,9,0,0,120,400,0,0,10000000
1974,HEATWAVE,12,20,0,0,0,0,0,0
1974,Intoxicación,3,2,0,0,0,0,0,0
1974,LANDSLIDE,43,11,4,10,0,0,0,0
1974,LEAK,1,3,0,0,0,0,0,0
1974,Onda fría,2,1,1,0,0,0,0,0
1974,PANIC,6,2,0,0,0,0,0,0
1974,PLAGUE,30,0,0,0,0,0,0,0
1974,POLLUTION,7,0,0,0,0,164,0,0
1974,Racionamiento,4,0,0,0,0,0,0,0
1974,RAIN,65,15,30,10000,50120,68000,0,152000000
1974,SNOWSTORM,2,0,0,0,0,0,0,0
1974,STORM,21,3,556,300,2850,0,0,301000000
1974,STRONGWIND,2,0,0,0,0,0,0,0
1974,STRUCTURE,17,10,33,5,84,0,0,150000
1974,SURGE,1,4,0,0,0,0,0,312500
1975,ACCIDENT,6,5,0,0,0,0,0,0
1975,BIOLOGICAL,3,0,0,0,0,0,0,0
1975,DROUGHT,114,0,0,0,0,250000,0,0
1975,EARTHQUAKE,11,8,100,0,30,0,0,0
1975,ELECTRICSTORM,3,3,0,0,0,0,0,0
1975,EPIDEMIC,17,0,0,0,0,0,0,0
1975,EXPLOSION,33,19,4,15,0,0,0,402000
1975,FIRE,72,30,104,137,735,200,30000,34279500
1975,FLOOD,76,8,161,16682,45664,5077,0,400000
1975,FORESTFIRE,36,0,0,0,0,0,0,0
1975,FROST,29,7,0,0,0,70039,0,1630000000
1975,HAILSTORM,8,0,0,0,0,0,0,100000
1975,HEATWAVE,2,1,0,0,0,0,0,0
1975,Intoxicación,5,6,0,0,0,0,0,0
1975,LANDSLIDE,10,5,8,0,0,0,0,0
1975,LEAK,2,0,0,0,0,0,0,0
1975,Onda fría,19,15,0,0,0,0,0,0
1975,PLAGUE,2,0,0,0,0,0,0,0
1975,POLLUTION,7,15,0,0,0,90000,0,0
1975,RAIN,7,26,3000,7000,50000,200000,0,100000000
1975,SNOWSTORM,9,0,0,0,0,0,0,0
1975,SPATE,3,27,70,850,3400,0,0,1000000
1975,STORM,11,1,300,0,0,0,0,50000
1975,STRONGWIND,4,0,0,0,0,0,0,13000000
1975,STRUCTURE,10,11,17,0,33,0,0,500000
1975,TORNADO,1,0,200,0,1000,0,0,0
1976,BIOLOGICAL,2,0,0,0,0,0,0,0
1976,DROUGHT,26,0,0,0,0,0,0,0
1976,EARTHQUAKE,16,2,86,0,0,0,0,0
1976,ELECTRICSTORM,2,2,0,0,0,0,0,0
1976,EPIDEMIC,34,18,0,0,0,0,0,0
1976,EXPLOSION,13,15,6,77,0,0,0,2580000
1976,FIRE,39,14,264,9,0,0,0,691880000
1976,FLOOD,88,111,586,19395,283157,46000,0,200000000
1976,FORESTFIRE,13,1,0,0,0,0,0,2500000
1976,FROST,62,2,0,0,0,0,0,0
1976,HAILSTORM,18,0,49,300,270,1200,0,3000000
1976,HEATWAVE,1,8,0,0,0,0,0,0
1976,Intoxicación,2,2,0,0,0,0,0,0
1976,LANDSLIDE,5,16,0,0,0,0,0,0
1976,LEAK,1,2,0,0,0,0,0,0
1976,Onda fría,18,0,0,0,0,0,0,0
1976,PLAGUE,2,0,0,0,0,0,0,0
1976,POLLUTION,13,0,0,0,0,0,0,0
1976,RAIN,4,400,0,4000,15000,0,0,0
1976,SNOWSTORM,8,4,0,0,0,0,0,0
1976,SPATE,5,5,50,400,1800,0,0,0
1976,STORM,28,9,503,415,3660,0,0,525000000
1976,STRUCTURE,1,0,20,0,80,0,0,0
1977,ACCIDENT,12,38,0,0,0,0,0,1000000
1977,BIOLOGICAL,5,0,0,0,0,0,0,2000000
1977,DROUGHT,27,0,0,0,0,0,0,0
1977,EPIDEMIC,44,16,0,0,0,0,0,0
1977,EXPLOSION,23,8,5,14,0,134,0,207155000
1977,FIRE,66,24,47,66,2,0,0,389372000
1977,FLOOD,40,31,1253,14067,7445,2500,0,0
1977,FORESTFIRE,6,0,100,0,0,0,0,0
1977,FROST,2,0,0,0,0,0,0,0
1977,HAILSTORM,3,0,0,0,0,80,0,272000
1977,HEATWAVE,5,43,0,0,0,0,0,0
1977,Hundimiento,1,0,10,0,0,0,0,0
1977,Intoxicación,3,3,0,0,0,0,0,0
1977,LANDSLIDE,12,28,10,0,0,0,0,0
1977,LEAK,2,2,0,0,0,0,0,0
1977,Onda fría,2,23,0,0,0,0,0,0
1977,PANIC,2,0,0,0,0,0,0,0
1977,PLAGUE,10,0,0,0,0,0,0,500130000
1977,POLLUTION,27,0,0,0,0,0,0,2000000
1977,Racionamiento,26,0,0,0,0,0,0,0
1977,RAIN,49,5,0,0,1000,0,0,0
1977,SNOWSTORM,3,0,0,0,0,0,0,0
1977,STORM,26,2,140,100,1000,0,0,40300000
1977,STRONGWIND,22,0,40,0,0,0,0,50250000
1977,STRUCTURE,4,2,0,1,0,0,0,80000
1977,SURGE,1,10,0,0,0,0,0,0
1978,ACCIDENT,8,23,0,0,0,0,0,7800000
1978,BIOLOGICAL,7,0,0,0,0,0,0,0
1978,DROUGHT,94,0,0,0,0,40000,0,4325994000
1978,EARTHQUAKE,3,1,23,0,0,0,0,0
1978,ELECTRICSTORM,1,4,0,0,0,0,0,0
1978,EPIDEMIC,9,406,0,0,0,0,0,0
1978,EXPLOSION,22,56,3,21,0,0,0,24300000
1978,FIRE,70,69,84,7,182,50700,0,708757000
1978,FLOOD,52,58,2813,17680,187250,18000,0,162060000
1978,FORESTFIRE,12,0,20,0,80,0,0,7150000
1978,FROST,14,5,0,0,0,0,0,360000
1978,HAILSTORM,1,0,0,0,0,0,0,0
1978,HEATWAVE,1,100,0,0,0,0,0,0
1978,Intoxicación,15,21,0,0,0,0,0,0
1978,LANDSLIDE,6,25,0,0,0,0,0,0
1978,LEAK,2,0,0,0,0,0,0,0
1978,Onda fría,3,28,0,0,0,0,0,0
1978,PLAGUE,5,0,0,0,0,5000,0,630000
1978,POLLUTION,4,31,0,0,0,0,0,6190000
1978,RAIN,9,1,0,400,1000,0,0,0
1978,SNOWSTORM,12,0,0,0,0,0,0,750000
1978,SPATE,2,11,0,0,0,0,0,0
