"Year","Event","DataCards","Deaths","Houses.Ruined","Affected","Monetary.LossUSD","Event_Severity","Event_factor"
"1970","DROUGHT",323,0,0,1850000,0,0,7
"1970","EARTHQUAKE",1,0,0,0,0,0,8
"1970","ELECTRICSTORM",2,6,0,0,0,300,9
"1970","EPIDEMIC",85,1492,0,0,0,1755,10
"1970","EXPLOSION",18,32,32,0,0,178,12
"1970","FIRE",86,72,347,1805,497340,84,14
"1970","FLOOD",81,26,10114,39268,8412000,32,15
"1970","FORESTFIRE",31,0,0,0,6000,0,17
"1970","FROST",33,0,0,0,375000,0,18
"1970","HAILSTORM",3,0,231,800,0,0,19
"1970","HEATWAVE",23,50,0,0,0,217,20
"1970","SINKING",1,0,0,0,0,0,32
"1970","INTOXICATION",4,5,0,0,0,125,21
"1970","LANDSLIDE",20,0,0,0,0,0,22
"1970","LEAK",4,0,0,0,0,0,23
"1970","COLD WAVE",14,268,0,0,0,1914,6
"1970","PANIC",1,2,0,0,0,200,26
"1970","PLAGUE",84,19,0,0,1680,23,27
"1970","POLLUTION",28,45,0,0,0,161,28
"1970","RATIONING",2,0,0,300000,0,0,30
"1970","RAIN",25,0,0,50000,0,0,29
"1970","SNOWSTORM",16,0,0,0,0,0,33
"1970","SPATE",1,3,0,0,0,300,34
"1970","STORM",22,14,1840,7000,60000,64,35
"1970","STRONGWIND",22,0,0,0,48000,0,36
"1970","STRUCTURE",3,3,0,4,0,100,37
"1970","SURGE",14,0,0,0,0,0,38
"1971","ACCIDENT",2,24,0,0,0,1200,1
"1971","BIOLOGICAL",9,0,0,0,0,0,4
"1971","DROUGHT",206,0,0,0,0,0,7
"1971","EPIDEMIC",59,23,0,0,60000,39,10
"1971","EXPLOSION",20,29,18,64,303000,145,12
"1971","FIRE",57,25,255,500,6213180,44,14
"1971","FLOOD",76,8,30395,128261,720000,11,15
"1971","FORESTFIRE",42,0,0,0,0,0,17
"1971","FROST",10,0,0,6000,1500000,0,18
"1971","HAILSTORM",3,0,0,0,0,0,19
"1971","HEATWAVE",20,121,0,0,0,605,20
"1971","INTOXICATION",4,6,0,0,0,150,21
"1971","LANDSLIDE",9,12,4,0,0,133,22
"1971","LEAK",1,0,0,0,0,0,23
"1971","COLD WAVE",4,14,0,0,0,350,6
"1971","PANIC",1,6,0,0,0,600,26
"1971","PLAGUE",53,0,0,0,0,0,27
"1971","POLLUTION",18,0,0,0,0,0,28
"1971","RAIN",3,0,1500,5000,3000000,0,29
"1971","SNOWSTORM",10,5,8,0,0,50,33
"1971","SPATE",2,0,0,0,0,0,34
"1971","STORM",54,0,3350,9400,6000,0,35
"1971","STRONGWIND",40,0,250,1250,0,0,36
"1971","STRUCTURE",5,10,11,7,0,200,37
"1971","SURGE",34,0,0,0,0,0,38
"1972","ACCIDENT",3,4,0,0,0,133,1
"1972","ALLUVION",3,0,1500,31000,0,0,2
"1972","DROUGHT",66,0,0,0,0,0,7
"1972","EARTHQUAKE",1,0,0,0,0,0,8
"1972","ELECTRICSTORM",1,2,0,0,0,200,9
"1972","EPIDEMIC",78,452,0,0,0,579,10
"1972","EXPLOSION",23,40,81,0,463800,174,12
"1972","FIRE",49,10,318,654,30452400,20,14
"1972","FLOOD",71,47,24217,187650,10830000,66,15
"1972","FORESTFIRE",17,0,0,0,600000,0,17
"1972","HAILSTORM",1,0,0,0,0,0,19
"1972","HEATWAVE",7,24,0,0,0,343,20
"1972","INTOXICATION",3,16,0,0,0,533,21
"1972","LANDSLIDE",11,12,4,0,0,109,22
"1972","LEAK",1,0,0,0,0,0,23
"1972","COLD WAVE",1,6,0,0,0,600,6
"1972","PLAGUE",33,0,0,0,0,0,27
"1972","POLLUTION",7,15,0,0,0,214,28
"1972","RATIONING",1,0,0,0,0,0,30
"1972","SNOWSTORM",2,0,0,0,0,0,33
"1972","SPATE",1,2,0,0,0,200,34
"1972","STORM",35,35,5520,3730,600000,100,35
"1972","STRONGWIND",4,3,170,680,0,75,36
"1972","STRUCTURE",4,6,2,200,900,150,37
"1972","SURGE",1,0,0,0,0,0,38
"1973","ACCIDENT",3,6,0,0,0,200,1
"1973","DROUGHT",54,0,0,0,0,0,7
"1973","EARTHQUAKE",39,1277,63285,80000,15000000,3274,8
"1973","ELECTRICSTORM",2,1,0,0,0,50,9
"1973","EPIDEMIC",5,8,0,0,0,160,10
"1973","ERUPTION",11,30,1500,15000,0,273,11
"1973","EXPLOSION",9,27,5,0,15000,300,12
"1973","FIRE",13,4,72,100,90345000,31,14
"1973","FLOOD",114,128,43006,435740,8400000,112,15
"1973","FORESTFIRE",17,0,0,0,3000000,0,17
"1973","FROST",7,2,0,1500,18240000,29,18
"1973","HEATWAVE",7,142,0,0,0,2029,20
"1973","SINKING",1,7,5,0,0,700,32
"1973","INTOXICATION",2,41,0,0,0,2050,21
"1973","LANDSLIDE",8,21,113,432,0,262,22
"1973","COLD WAVE",16,0,0,0,0,0,6
"1973","PLAGUE",15,0,0,0,0,0,27
"1973","POLLUTION",3,0,0,10000,0,0,28
"1973","RAIN",35,0,0,0,6000000,0,29
"1973","SNOWSTORM",23,38,0,0,0,165,33
"1973","SPATE",4,29,10007,200000,0,725,34
"1973","STORM",33,3,1815,6000,2160000,9,35
"1973","STRONGWIND",19,3,0,0,0,16,36
"1973","STRUCTURE",1,0,0,0,0,0,37
"1974","ACCIDENT",6,13,0,0,0,217,1
"1974","BIOLOGICAL",3,0,0,0,0,0,4
"1974","DROUGHT",185,0,0,0,84300000,0,7
"1974","EARTHQUAKE",1,0,0,0,0,0,8
"1974","ELECTRICSTORM",7,8,1,10000000,0,114,9
"1974","EPIDEMIC",31,24,0,0,0,77,10
"1974","ERUPTION",11,0,0,0,0,0,11
"1974","EXPLOSION",40,17,12,100,198000,42,12
"1974","FIRE",80,79,721,3208,43884390,99,14
"1974","FLOOD",84,1,3577,14720,186600,1,15
"1974","FORESTFIRE",10,0,1,0,180000,0,17
"1974","FROST",21,0,0,0,0,0,18
"1974","HAILSTORM",9,0,120,400,600000,0,19
"1974","HEATWAVE",12,20,0,0,0,167,20
"1974","INTOXICATION",3,2,0,0,0,67,21
"1974","LANDSLIDE",43,11,14,0,0,26,22
"1974","LEAK",1,3,0,0,0,300,23
"1974","COLD WAVE",2,1,1,0,0,50,6
"1974","PANIC",6,2,0,0,0,33,26
"1974","PLAGUE",30,0,0,0,0,0,27
"1974","POLLUTION",7,0,0,164,0,0,28
"1974","RATIONING",4,0,0,0,0,0,30
"1974","RAIN",65,15,10030,118120,9120000,23,29
"1974","SNOWSTORM",2,0,0,0,0,0,33
"1974","STORM",21,3,856,2850,18060000,14,35
"1974","STRONGWIND",2,0,0,0,0,0,36
"1974","STRUCTURE",17,10,38,84,9000,59,37
"1974","SURGE",1,4,0,0,18750,400,38
"1975","ACCIDENT",6,5,0,0,0,83,1
"1975","BIOLOGICAL",3,0,0,0,0,0,4
"1975","DROUGHT",114,0,0,250000,0,0,7
"1975","EARTHQUAKE",11,8,100,30,0,73,8
"1975","ELECTRICSTORM",3,3,0,0,0,100,9
"1975","EPIDEMIC",17,0,0,0,0,0,10
"1975","EXPLOSION",33,19,19,0,24120,58,12
"1975","FIRE",72,30,241,935,2086770,42,14
"1975","FLOOD",76,8,16843,50741,24000,11,15
"1975","FORESTFIRE",36,0,0,0,0,0,17
"1975","FROST",29,7,0,70039,97800000,24,18
"1975","HAILSTORM",8,0,0,0,6000,0,19
"1975","HEATWAVE",2,1,0,0,0,50,20
"1975","INTOXICATION",5,6,0,0,0,120,21
"1975","LANDSLIDE",10,5,8,0,0,50,22
