Year,Event, DataCards, Deaths, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Losses $USD, Losses $Local
1980,AVALANCHE,1,3,7,15,0,0,0,0
1980,EARTHQUAKE,7,254,877,1754,0,277,0,0
1980,EPIDEMIC,15,44,0,0,0,625,0,0
1980,FLASH FLOOD,13,69,137,230,0,7928,0,0
1980,FLOOD,25,158,863,708,0,15595,0,0
1980,LANDSLIDE,7,32,13,4,0,175,0,0
1980,LIGHTNING,5,5,0,2,0,0,0,0
1980,RAINS,15,11,9,8,0,0,0,0
1980,Snowfall,2,7,23,118,0,0,0,0
1980,WINDSTORM,2,4,3,1,0,0,0,0
1981,EARTHQUAKE,5,129,505,811,0,121,0,0
1981,EPIDEMIC,11,50,0,0,0,519,0,0
1981,FLASH FLOOD,13,79,126,268,0,6859,0,0
1981,FLOOD,22,128,592,878,0,15240,0,0
1981,LANDSLIDE,8,27,10,9,0,254,0,0
1981,LIGHTNING,9,8,0,6,0,0,0,0
1981,RAINS,10,12,4,7,0,0,0,0
1981,WINDSTORM,1,0,0,6,0,0,0,0
1982,EARTHQUAKE,4,121,381,464,0,422,0,0
1982,EPIDEMIC,8,44,0,0,0,525,0,0
1982,FLASH FLOOD,13,67,138,252,0,7085,0,0
1982,FLOOD,24,121,891,804,0,6891,0,0
1982,LANDSLIDE,5,16,9,11,0,126,0,0
1982,LIGHTNING,7,2,0,4,0,0,0,0
1982,RAINS,11,3,10,14,0,0,0,0
1982,WINDSTORM,1,0,1,2,0,0,0,0
1983,EARTHQUAKE,7,204,1070,1789,0,2679,0,0
1983,EPIDEMIC,22,78,0,0,0,994,0,0
1983,FLASH FLOOD,13,67,150,266,0,7515,0,0
1983,FLOOD,24,153,1403,694,0,20141,0,0
1983,LANDSLIDE,7,25,12,16,0,357,0,0
1983,LIGHTNING,2,3,0,2,0,0,0,0
1983,RAINS,13,9,11,13,0,0,0,0
1984,EARTHQUAKE,4,43,364,810,0,905,0,0
1984,EPIDEMIC,18,68,0,0,0,1076,0,0
1984,FLASH FLOOD,13,65,148,228,0,7328,0,0
1984,FLOOD,27,140,1083,1049,0,14024,0,0
1984,LANDSLIDE,7,8,10,6,0,416,0,0
1984,LIGHTNING,4,2,0,0,0,0,0,0
1984,RAINS,9,15,8,9,0,0,0,0
1984,WINDSTORM,1,1,2,4,0,0,0,0
1985,AVALANCHE,2,6,9,26,0,0,0,0
1985,EARTHQUAKE,6,92,506,830,0,2211,0,0
1985,EPIDEMIC,17,100,0,0,0,910,0,0
1985,FLASH FLOOD,13,69,114,267,0,7838,0,0
1985,FLOOD,17,135,865,530,0,15528,0,0
1985,LANDSLIDE,5,11,2,5,0,272,0,0
1985,LIGHTNING,6,4,0,6,0,0,0,0
1985,RAINS,3,2,4,4,0,0,0,0
1985,WINDSTORM,2,4,0,8,0,0,0,0
1986,AVALANCHE,1,0,7,18,0,0,0,0
1986,EARTHQUAKE,3,29,224,502,0,247,0,0
1986,EPIDEMIC,18,97,0,0,0,1787,0,0
1986,FLASH FLOOD,13,54,153,313,0,7469,0,0
1986,FLOOD,26,161,911,607,0,17788,0,0
1986,LANDSLIDE,8,25,4,12,0,378,0,0
1986,LIGHTNING,8,5,0,6,0,0,0,0
1986,RAINS,11,11,11,11,0,0,0,0
1987,EARTHQUAKE,6,255,802,1231,0,1614,0,0
1987,EPIDEMIC,17,93,0,0,0,3660,0,0
1987,FLASH FLOOD,13,66,119,297,0,8159,0,0
1987,FLOOD,22,156,496,704,0,23340,0,0
1987,LANDSLIDE,6,15,9,15,0,163,0,0
1987,LIGHTNING,11,7,0,14,0,0,0,0
1987,RAINS,10,7,2,10,0,0,0,0
1987,WINDSTORM,2,3,0,5,0,0,0,0
1988,AVALANCHE,1,2,9,17,0,0,0,0
1988,EARTHQUAKE,7,183,722,1046,0,935,0,0
1988,EPIDEMIC,14,72,0,0,0,4010,0,0
1988,FLASH FLOOD,13,56,148,283,0,5200,0,0
1988,FLOOD,22,439,1097,682,0,26449,0,0
1988,LANDSLIDE,8,5,2,5,0,472,0,0
1988,LIGHTNING,5,2,0,10,0,0,0,0
1988,RAINS,11,8,8,15,0,0,0,0
1989,AVALANCHE,1,4,2,7,0,0,0,0
1989,EARTHQUAKE,6,178,607,801,0,1412,0,0
1989,EPIDEMIC,11,53,0,0,0,6252,0,0
1989,FLASH FLOOD,13,62,154,240,0,3659,0,0
1989,FLOOD,22,187,575,930,0,20290,0,0
1989,LANDSLIDE,8,9,8,6,0,236,0,0
1989,LIGHTNING,4,3,0,4,0,0,0,0
1989,RAINS,4,5,4,1,0,0,0,0
1989,WINDSTORM,3,5,0,10,0,0,0,0
1990,AVALANCHE,1,6,4,6,0,0,0,0
1990,EARTHQUAKE,4,112,615,692,0,1742,0,0
1990,EPIDEMIC,8,38,0,0,0,2230,0,0
1990,FLASH FLOOD,13,68,121,325,0,7007,0,0
1990,FLOOD,22,125,1059,387,0,15813,0,0
1990,LANDSLIDE,12,12,4,4,0,371,0,0
1990,LIGHTNING,9,9,0,11,0,0,0,0
1990,RAINS,11,8,7,19,0,0,0,0
1990,WINDSTORM,1,1,0,6,0,0,0,0
1991,EARTHQUAKE,6,108,779,1114,0,3844,0,0
1991,EPIDEMIC,15,75,0,0,0,7213,0,0
1991,FLASH FLOOD,13,81,99,212,0,6579,0,0
1991,FLOOD,19,99,909,649,0,19742,0,0
1991,LANDSLIDE,5,6,0,1,0,283,0,0
1991,LIGHTNING,4,3,0,3,0,0,0,0
1991,RAINS,10,9,13,10,0,0,0,0
1991,WINDSTORM,2,5,3,7,0,0,0,0
1992,AVALANCHE,1,0,6,14,0,0,0,0
1992,EARTHQUAKE,5,98,282,900,0,2828,0,0
1992,EPIDEMIC,9,49,0,0,0,5163,0,0
1992,FLASH FLOOD,13,88,124,226,0,9059,0,0
1992,FLOOD,31,904,1610,5981,0,121638,0,0
1992,LANDSLIDE,7,11,6,2,0,258,0,0
1992,LIGHTNING,7,4,0,8,0,0,0,0
1992,RAINS,10,6,6,17,0,1,0,0
1992,WINDSTORM,2,4,4,11,0,0,0,0
1993,AVALANCHE,1,3,3,8,0,0,0,0
1993,EARTHQUAKE,6,150,702,1172,0,2172,0,0
1993,EPIDEMIC,17,77,0,0,0,9039,0,0
1993,FLASH FLOOD,13,76,143,241,0,8480,0,0
1993,FLOOD,23,174,906,664,0,32201,0,0
1993,LANDSLIDE,8,10,2,2,0,179,0,0
1993,LIGHTNING,12,12,0,17,0,0,0,0
1993,RAINS,7,3,9,8,0,0,0,0
1993,WINDSTORM,1,2,0,5,0,0,0,0
1994,EARTHQUAKE,5,101,542,1066,0,1080,0,0
1994,EPIDEMIC,10,56,0,0,0,4121,0,0
1994,FLASH FLOOD,13,75,104,261,0,7584,0,0
1994,FLOOD,22,122,549,999,0,32981,0,0
1994,LANDSLIDE,9,14,6,12,0,247,0,0
1994,LIGHTNING,10,5,0,9,0,0,0,0
1994,RAINS,10,6,10,12,0,0,0,0
1994,WINDSTORM,3,1,1,9,0,0,0,0
1995,EARTHQUAKE,3,63,279,573,0,719,0,0
1995,EPIDEMIC,7,30,0,0,0,1452,0,0
1995,FLASH FLOOD,13,55,121,233,0,7841,0,0
1995,FLOOD,24,132,1139,1095,0,32236,0,0
1995,LANDSLIDE,5,16,0,7,0,368,0,0
1995,LIGHTNING,5,8,0,2,0,0,0,0
1995,RAINS,12,14,9,13,0,0,0,0
1995,WINDSTORM,4,3,1,14,0,0,0,0
1996,AVALANCHE,1,3,4,6,0,0,0,0
1996,EARTHQUAKE,5,132,483,748,0,1024,0,0
1996,EPIDEMIC,15,67,0,0,0,5201,0,0
1996,FLASH FLOOD,13,56,117,230,0,6433,0,0
1996,FLOOD,23,144,761,1186,0,41796,0,0
1996,LANDSLIDE,10,18,4,6,0,263,0,0
1996,LIGHTNING,7,9,0,4,0,0,0,0
1996,RAINS,12,11,13,20,0,0,0,0
1996,WINDSTORM,3,3,0,10,0,0,0,0
1997,AVALANCHE,2,11,8,25,0,0,0,0
1997,EARTHQUAKE,7,131,638,1267,0,1123,0,0
1997,EPIDEMIC,10,50,0,0,0,2814,0,0
1997,FLASH FLOOD,13,74,131,233,0,7633,0,0
1997,FLOOD,20,105,834,764,0,17787,0,0
1997,LANDSLIDE,9,11,4,11,0,279,0,0
1997,LIGHTNING,6,11,0,8,0,0,0,0
1997,RAINS,7,6,6,7,0,0,0,0
1997,WINDSTORM,2,1,0,6,0,0,0,0
1998,AVALANCHE,1,0,3,8,0,0,0,0
1998,EARTHQUAKE,6,170,709,999,0,2034,0,0
1998,EPIDEMIC,10,46,0,0,0,4223,0,0
1998,FLASH FLOOD,13,79,106,210,0,8086,0,0
1998,FLOOD,22,100,860,1000,0,32611,0,0
1998,LANDSLIDE,10,28,9,20,0,174,0,0
1998,LIGHTNING,4,4,0,3,0,0,0,0
1998,RAINS,11,13,6,7,0,0,0,0
1998,WINDSTORM,1,0,3,1,0,0,0,0
1999,AVALANCHE,1,2,8,14,0,0,0,0
1999,CYCLONE,1,450,0,1500,0,0,0,0
1999,EARTHQUAKE,2,28,141,287,0,76,0,0
1999,EPIDEMIC,10,49,0,0,0,1952,0,0
1999,FLASH FLOOD,13,72,120,233,0,7210,0,0
1999,FLOOD,25,154,751,1248,0,23146,0,0
1999,LANDSLIDE,8,15,8,3,0,472,0,0
1999,LIGHTNING,9,10,0,7,0,0,0,0
1999,RAINS,8,7,5,9,0,0,0,0
1999,WINDSTORM,2,0,0,8,0,0,0,0
2000,AVALANCHE,3,11,17,36,0,0,0,0
2000,BREACH,1,2,0,16,0,167,0,0
2000,COLD WAVE,1,25,0,0,0,2185,0,0
2000,CONTAMINATION,2,106,0,0,0,0,0,0
2000,CYCLONE,2,7,54,248,0,1417,0,0
2000,DROUGHT,3,22,0,0,0,0,0,0
2000,EARTHQUAKE,8,204,1020,1677,0,3034,0,0
2000,EPIDEMIC,30,350,0,0,759,4680,0,0
2000,FLASH FLOOD,20,205,9141,9868,0,44106,0,0
2000,FLOOD,51,609,14986,9305,0,247838,0,0
2000,HEAT WAVE,4,36,0,0,3,727,0,0
2000,LANDSLIDE,13,79,8,25,0,219,0,0
2000,LIGHTNING,22,100,5,12,0,18,0,0
2000,PEST,2,0,0,0,0,0,0,0
2000,RAINS,30,874,4060,6108,0,106394,0,0
2000,Snowfall,7,4,36,169,0,9355,0,0
2000,SNOWSTORM,1,8,31,55,0,6548,0,0
2000,STORM,8,143,31,889,0,6587,0,0
2000,THUNDERSTORM,2,6,2,5,0,168,0,0
2000,WINDSTORM,4,26,21,40,0,218646,0,0
2001,AVALANCHE,2,39,9,87,0,476,0,0
2001,BREACH,4,177,15,64,0,4863,0,0
2001,COLD WAVE,1,18,0,0,0,24,0,0
2001,CONTAMINATION,1,84,0,0,0,0,0,0
2001,CYCLONE,1,65,0,2185,0,515,0,0
2001,DROUGHT,1,6,0,0,0,0,0,0
2001,EARTHQUAKE,11,242,2789,886,0,44389,0,0
2001,EPIDEMIC,43,749,0,0,13827,8108,0,0
2001,FLASH FLOOD,50,524,28281,17484,100,119796,0,0
2001,FLOOD,128,2463,31984,27275,4508,2363343,0,0
2001,HEAT WAVE,15,143,0,0,6,23321,0,0
2001,LANDSLIDE,17,123,43,73,0,2909,0,0
2001,LIGHTNING,19,261,4,29,0,0,0,0
2001,OTHER,6,148,0,0,0,1511,0,0
2001,PEST,5,0,0,0,0,0,0,0
2001,RAINS,109,3246,1297890,6851,0,2471970,0,0
2001,SANDSTORM,1,0,8,16,0,341,0,0
2001,Snowfall,6,105,2,10,0,28,0,0
2001,SNOWSTORM,3,8,33,61,0,1193,0,0
2001,STORM,13,932,94,110,0,545018,0,0
2001,WINDSTORM,5,174,93,531,0,568,0,0
2002,AVALANCHE,2,6,11,36,0,0,0,0
2002,BREACH,5,92,88,230,0,15214,0,0
2002,EARTHQUAKE,12,146,1199,1021,0,26418,0,0
2002,EPIDEMIC,23,353,0,0,185,8186,0,0
2002,FLASH FLOOD,14,85,621,376,0,36786,0,0
2002,FLOOD,53,1091,7950,10123,0,286336,0,0
2002,HEAT WAVE,1,0,0,0,0,24,0,0
2002,LANDSLIDE,11,130,30,60,0,2541,0,0
2002,LIGHTNING,14,177,2,19,0,0,0,0
2002,OTHER,1,0,0,0,0,0,0,0
