"Year","Event","DataCards","Deaths","Houses.Ruined","Affected","Monetary.LossUSD","Event_Severity","Event_factor"
"1980","AVALANCHE",1,3,22,0,0,300,1
"1980","EARTHQUAKE",7,254,2631,277,0,3629,7
"1980","EPIDEMIC",15,44,0,625,0,293,8
"1980","FLASH FLOOD",13,69,367,7928,0,531,9
"1980","FLOOD",25,158,1571,15595,0,632,10
"1980","LANDSLIDE",7,32,17,175,0,457,13
"1980","LIGHTNING",5,5,2,0,0,100,14
"1980","RAINS",15,11,17,0,0,73,17
"1980","SNOWFALL",2,7,141,0,0,350,19
"1980","WINDSTORM",2,4,4,0,0,200,23
"1981","EARTHQUAKE",5,129,1316,121,0,2580,7
"1981","EPIDEMIC",11,50,0,519,0,455,8
"1981","FLASH FLOOD",13,79,394,6859,0,608,9
"1981","FLOOD",22,128,1470,15240,0,582,10
"1981","LANDSLIDE",8,27,19,254,0,338,13
"1981","LIGHTNING",9,8,6,0,0,89,14
"1981","RAINS",10,12,11,0,0,120,17
"1981","WINDSTORM",1,0,6,0,0,0,23
"1982","EARTHQUAKE",4,121,845,422,0,3025,7
"1982","EPIDEMIC",8,44,0,525,0,550,8
"1982","FLASH FLOOD",13,67,390,7085,0,515,9
"1982","FLOOD",24,121,1695,6891,0,504,10
"1982","LANDSLIDE",5,16,20,126,0,320,13
"1982","LIGHTNING",7,2,4,0,0,29,14
"1982","RAINS",11,3,24,0,0,27,17
"1982","WINDSTORM",1,0,3,0,0,0,23
"1983","EARTHQUAKE",7,204,2859,2679,0,2914,7
"1983","EPIDEMIC",22,78,0,994,0,355,8
"1983","FLASH FLOOD",13,67,416,7515,0,515,9
"1983","FLOOD",24,153,2097,20141,0,638,10
"1983","LANDSLIDE",7,25,28,357,0,357,13
"1983","LIGHTNING",2,3,2,0,0,150,14
"1983","RAINS",13,9,24,0,0,69,17
"1984","EARTHQUAKE",4,43,1174,905,0,1075,7
"1984","EPIDEMIC",18,68,0,1076,0,378,8
"1984","FLASH FLOOD",13,65,376,7328,0,500,9
"1984","FLOOD",27,140,2132,14024,0,519,10
"1984","LANDSLIDE",7,8,16,416,0,114,13
"1984","LIGHTNING",4,2,0,0,0,50,14
"1984","RAINS",9,15,17,0,0,167,17
"1984","WINDSTORM",1,1,6,0,0,100,23
"1985","AVALANCHE",2,6,35,0,0,300,1
"1985","EARTHQUAKE",6,92,1336,2211,0,1533,7
"1985","EPIDEMIC",17,100,0,910,0,588,8
"1985","FLASH FLOOD",13,69,381,7838,0,531,9
"1985","FLOOD",17,135,1395,15528,0,794,10
"1985","LANDSLIDE",5,11,7,272,0,220,13
"1985","LIGHTNING",6,4,6,0,0,67,14
"1985","RAINS",3,2,8,0,0,67,17
"1985","WINDSTORM",2,4,8,0,0,200,23
"1986","AVALANCHE",1,0,25,0,0,0,1
"1986","EARTHQUAKE",3,29,726,247,0,967,7
"1986","EPIDEMIC",18,97,0,1787,0,539,8
"1986","FLASH FLOOD",13,54,466,7469,0,415,9
"1986","FLOOD",26,161,1518,17788,0,619,10
"1986","LANDSLIDE",8,25,16,378,0,312,13
"1986","LIGHTNING",8,5,6,0,0,62,14
"1986","RAINS",11,11,22,0,0,100,17
"1987","EARTHQUAKE",6,255,2033,1614,0,4250,7
"1987","EPIDEMIC",17,93,0,3660,0,547,8
"1987","FLASH FLOOD",13,66,416,8159,0,508,9
"1987","FLOOD",22,156,1200,23340,0,709,10
"1987","LANDSLIDE",6,15,24,163,0,250,13
"1987","LIGHTNING",11,7,14,0,0,64,14
