Year,Event, DataCards, Deaths, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Losses $USD, Losses $Local
1980,COASTAL EROSION,3,0,0,0,0,0,0,0
1981,COASTAL EROSION,3,0,0,0,0,0,0,0
1982,COASTAL EROSION,3,0,0,0,0,0,0,0
1982,DROUGHT,5,0,0,0,0,0,0,0
1983,COASTAL EROSION,3,0,0,0,0,0,0,0
1984,COASTAL EROSION,3,0,0,0,0,0,0,0
1984,DROUGHT,1,0,0,0,0,0,0,0
1985,COASTAL EROSION,3,0,0,0,0,0,0,0
1985,DROUGHT,1,0,0,0,0,0,0,0
1986,COASTAL EROSION,4,0,0,0,0,0,0,0
1987,COASTAL EROSION,4,0,0,0,0,0,0,0
1988,COASTAL EROSION,4,0,0,0,0,0,0,0
1989,COASTAL EROSION,4,0,0,0,0,0,0,0
1989,FLOOD,1,0,0,0,0,3000,0,0
1990,COASTAL EROSION,2,0,0,0,0,0,0,0
1990,DROUGHT,5,0,0,0,0,0,0,0
1991,COASTAL EROSION,2,0,0,0,0,0,0,0
1991,DROUGHT,5,0,0,0,0,0,0,0
1992,COASTAL EROSION,2,0,0,0,0,0,0,0
1992,DROUGHT,5,0,0,0,0,0,0,0
1992,INDUSTRIAL DISASTER,1,129,0,0,0,0,0,0
1993,COASTAL EROSION,2,0,0,0,0,0,0,0
1993,FLOOD,1,1,0,0,0,0,0,0
1994,COASTAL EROSION,2,0,0,0,0,0,0,0
1994,FLOOD,2,0,0,0,0,0,0,0
1995,COASTAL EROSION,2,0,0,0,0,0,0,0
1996,COASTAL EROSION,2,0,0,0,0,0,0,0
1997,COASTAL EROSION,2,0,0,0,0,0,0,0
1997,FIRE,1,0,0,0,0,0,0,0
1998,COASTAL EROSION,2,0,0,0,0,0,0,0
1999,COASTAL EROSION,2,0,0,0,0,0,0,0
1999,FLOOD,3,3,0,0,0,0,0,0
1999,STRONG WIND,1,16,0,0,0,0,0,0
2000,COASTAL EROSION,1,0,0,0,0,0,0,0
2000,FLOOD,2,0,0,0,0,0,0,0
2001,COASTAL EROSION,1,0,0,0,0,0,0,0
2001,DROWNING,1,1,0,0,0,0,0,0
2001,ROAD ACCIDENT,1,1,0,0,0,0,0,0
2001,SINKING,1,4,0,0,0,0,0,0
2002,COASTAL EROSION,1,0,0,0,0,0,0,0
2002,EPIDEMIC,9,12,0,0,0,66,0,0
2002,FIRE,2,0,0,1,0,0,200000,0
2002,RAIN OUT OF SAISON,3,13,0,0,0,0,0,0
2002,ROAD ACCIDENT,1,1,0,0,0,0,0,0
2002,SINKING,2,1868,0,0,0,0,0,0
2003,COASTAL EROSION,2,0,0,20,0,0,0,0
2003,EPIDEMIC,1,0,0,0,0,130,0,0
2003,FIRE,1,0,0,0,0,0,0,0
2003,FLOOD,11,6,0,300,300,0,0,0
2003,LOCUST,20,0,0,0,0,110066,0,0
2004,COASTAL EROSION,1,0,0,0,0,0,0,0
2004,DROWNING,6,5,0,0,0,0,0,0
2004,EPIDEMIC,5,0,0,0,0,89,0,0
2004,FIRE,27,0,2,3,18,0,0,0
2004,FLOOD,2,0,0,0,0,0,0,0
2004,ROAD ACCIDENT,136,20,0,0,0,0,0,0
2004,STRUCTURAL COLLAPSE,1,0,0,0,0,0,0,0
2005,COASTAL EROSION,1,0,0,0,0,0,0,0
2005,DROWNING,25,19,0,0,0,0,0,0
2005,EPIDEMIC,20,18,0,0,0,6436,0,0
2005,FIRE,81,0,0,44,3,0,0,0
2005,FLOOD,3,0,0,3205,0,60000,0,0
2005,LIGHTNING,2,3,0,0,0,0,0,0
2005,ROAD ACCIDENT,1234,31,0,0,0,0,0,0
2005,STRUCTURAL COLLAPSE,7,6,1,0,0,0,0,0
2006,COASTAL EROSION,1,0,0,0,0,0,0,0
2006,DROUGHT,7,0,0,0,0,0,0,0
2006,DROWNING,6,8,0,0,0,0,0,0
2006,EPIDEMIC,4,0,0,0,0,4243,0,0
2006,FIRE,71,20,9,48,0,0,0,0
2006,FLOOD,1,0,0,0,0,0,0,0
2006,LIGHTNING,2,6,0,0,0,0,0,0
2006,ROAD ACCIDENT,620,13,0,1,0,0,0,0
2006,SINKING,1,5,0,0,0,0,0,0
2006,STRUCTURAL COLLAPSE,3,1,0,1,0,0,0,0
2007,BIRD INFESTATION,14,0,0,0,0,0,0,0
2007,COASTAL EROSION,1,0,0,0,0,0,0,0
2007,DROUGHT,6,0,0,0,0,0,0,0
2007,DROWNING,10,39,0,0,0,0,0,0
2007,EPIDEMIC,1,0,0,0,0,0,0,0
2007,FIRE,42,0,0,77,0,0,0,166
2007,FLOOD,9,1,0,114,0,0,0,0
2007,INDUSTRIAL DISASTER,1,18,0,0,0,0,0,0
2007,LIGHTNING,3,6,0,1,0,0,0,0
2007,ROAD ACCIDENT,305,39,0,1,0,0,0,0
2007,SINKING,2,8,0,0,0,0,18461,0
2007,STRUCTURAL COLLAPSE,2,2,0,1,0,0,0,0
2008,DROWNING,8,9,0,0,0,0,0,0
2008,FIRE,17,7,1,8,3,0,62000,0
2008,FLOOD,9,0,0,25027,0,0,0,0
2008,LIGHTNING,2,1,0,1,0,0,0,0
2008,ROAD ACCIDENT,98,19,0,0,0,0,0,0
2008,SINKING,2,4,0,0,0,0,0,0
2008,STRUCTURAL COLLAPSE,6,4,0,1,1,0,0,0
2008,WILD FIRE,105,0,0,0,0,0,0,0
2009,DROWNING,18,20,0,0,0,0,0,0
2009,EPIDEMIC,1,0,0,0,0,1,0,0
2009,FIRE,38,3,1,2,0,0,500,0
2009,FLOOD,7,0,0,28053,0,300000,0,0
2009,LIGHTNING,4,6,0,1,0,0,0,0
2009,ROAD ACCIDENT,515,27,0,0,0,0,0,0
2009,SINKING,4,8,0,0,0,0,0,0
2009,STRUCTURAL COLLAPSE,11,5,0,3,0,0,0,0
2009,WILD FIRE,300,0,0,0,0,0,0,0
2010,DROWNING,10,8,0,0,0,0,0,0
2010,FIRE,49,17,30,440,2101,0,300906,0
2010,FLOOD,7,0,10,308,122,22116,0,144000
2010,LIGHTNING,4,8,0,1,0,0,0,0
2010,ROAD ACCIDENT,337,65,0,0,0,0,0,0
2010,SINKING,6,96,0,0,0,0,0,0
2010,STRUCTURAL COLLAPSE,20,21,15,7,0,0,0,0
2010,WILD FIRE,320,0,0,1,0,0,0,0
2011,DROWNING,31,71,0,0,0,0,0,0
2011,EPIDEMIC,2,0,0,0,0,2,0,0
2011,FIRE,82,8,6,34,0,0,1070000,500
2011,FLOOD,5,0,26,349,2570,0,107637,0
2011,LIGHTNING,6,9,0,0,0,0,0,0
2011,LOCUST,7,0,0,0,0,0,0,0
2011,ROAD ACCIDENT,687,84,0,0,2,0,0,0
2011,SINKING,3,7,0,0,5,0,0,0
2011,STRUCTURAL COLLAPSE,26,14,0,12,0,0,0,0
2012,BIRD INFESTATION,2,0,0,0,0,0,0,0
2012,DROWNING,18,73,0,0,0,0,0,0
2012,EPIDEMIC,4,3,0,0,0,110,0,0
2012,FIRE,29,1,6,54,0,1800,1170142,0
2012,FLOOD,16,21,0,503,0,200,0,0
2012,LAND DEGRADATION,4,0,0,0,0,0,0,0
2012,LIGHTNING,4,3,0,0,0,0,0,0
2012,LOCUST,2,0,0,0,0,0,0,0
2012,ROAD ACCIDENT,96,165,4,0,0,0,0,0
2012,SINKING,1,2,0,0,0,0,0,0
2012,STRONG WIND,6,3,0,0,1,0,15450,0
2012,STRUCTURAL COLLAPSE,28,20,5,25,0,0,0,0
2012,SWELL,1,0,0,0,0,0,0,0
2012,WILD FIRE,271,0,0,0,0,0,0,0
2013,BIRD INFESTATION,1,0,0,0,0,0,0,0
2013,DROWNING,41,203,0,0,0,11,0,0
2013,DRY SPELL,7,0,0,0,0,0,0,0
2013,EXTREME TEMPERATURE,1,8,0,0,0,0,0,0
2013,FIRE,60,18,57,71,614,91,2691250,0
2013,FLOOD,54,31,200,9552,4381,41153,80000,0
2013,LIGHTNING,11,14,0,0,0,0,0,0
2013,ROAD ACCIDENT,110,252,0,0,0,0,0,0
2013,SINKING,13,59,0,0,0,0,11680,0
2013,STORM,12,2,0,0,0,0,0,0
2013,STRONG WIND,11,6,0,0,0,0,0,0
2013,STRUCTURAL COLLAPSE,24,16,4,22,0,0,0,0
2013,SWELL,20,1,0,0,0,0,49042,0
2013,WILD FIRE,380,0,0,0,0,0,0,0
2014,COASTAL EROSION,2,0,0,40,984,0,400000,0
2014,DROUGHT,1,0,0,0,0,0,0,0
2014,DROWNING,293,270,0,0,0,0,0,0
2014,DRY SPELL,6,0,0,0,0,1104,0,0
2014,EPIDEMIC,1,0,0,0,0,1,0,0
2014,EXTREME TEMPERATURE,1,5,0,0,0,0,0,0
2014,FIRE,78,33,49,156,126,306,20921713,0
2014,FLOOD,16,1,31,1552,0,300,0,400000
2014,LIGHTNING,28,34,0,6,0,0,0,0
2014,ROAD ACCIDENT,136,189,0,0,0,0,0,0
2014,SINKING,8,15,0,0,0,0,0,0
2014,STORM,1,0,0,0,0,0,0,0
2014,STRONG WIND,11,5,0,7,0,0,0,0
2014,STRUCTURAL COLLAPSE,16,5,2,112,0,0,0,0
2014,SWELL,7,0,0,0,0,0,0,0
2014,WILD FIRE,98,0,0,0,0,0,0,0
2015,DROWNING,1,0,0,0,0,0,0,0
2015,FIRE,2,1,0,0,0,0,0,0
2015,LOCUST,1,0,0,0,0,0,0,0
2015,ROAD ACCIDENT,2,0,0,0,0,0,0,0
2015,SWELL,1,0,0,0,0,0,10740,0
TOTAL,,7493,4303,459,70165,11231,551225,27109521,544666
