"Year","Event","DataCards","Deaths","Houses.Ruined","Affected","Monetary.LossUSD","Event_Severity","Event_factor"
"1980","COASTAL EROSION",3,0,0,0,0,0,2
"1981","COASTAL EROSION",3,0,0,0,0,0,2
"1982","COASTAL EROSION",3,0,0,0,0,0,2
"1982","DROUGHT",5,0,0,0,0,0,3
"1983","COASTAL EROSION",3,0,0,0,0,0,2
"1984","COASTAL EROSION",3,0,0,0,0,0,2
"1984","DROUGHT",1,0,0,0,0,0,3
"1985","COASTAL EROSION",3,0,0,0,0,0,2
"1985","DROUGHT",1,0,0,0,0,0,3
"1986","COASTAL EROSION",4,0,0,0,0,0,2
"1987","COASTAL EROSION",4,0,0,0,0,0,2
"1988","COASTAL EROSION",4,0,0,0,0,0,2
"1989","COASTAL EROSION",4,0,0,0,0,0,2
"1989","FLOOD",1,0,0,3000,0,0,9
"1990","COASTAL EROSION",2,0,0,0,0,0,2
"1990","DROUGHT",5,0,0,0,0,0,3
"1991","COASTAL EROSION",2,0,0,0,0,0,2
"1991","DROUGHT",5,0,0,0,0,0,3
"1992","COASTAL EROSION",2,0,0,0,0,0,2
"1992","DROUGHT",5,0,0,0,0,0,3
"1992","INDUSTRIAL DISASTER",1,129,0,0,0,12900,10
"1993","COASTAL EROSION",2,0,0,0,0,0,2
"1993","FLOOD",1,1,0,0,0,100,9
"1994","COASTAL EROSION",2,0,0,0,0,0,2
"1994","FLOOD",2,0,0,0,0,0,9
"1995","COASTAL EROSION",2,0,0,0,0,0,2
"1996","COASTAL EROSION",2,0,0,0,0,0,2
"1997","COASTAL EROSION",2,0,0,0,0,0,2
"1997","FIRE",1,0,0,0,0,0,8
"1998","COASTAL EROSION",2,0,0,0,0,0,2
"1999","COASTAL EROSION",2,0,0,0,0,0,2
"1999","FLOOD",3,3,0,0,0,100,9
"1999","STRONG WIND",1,16,0,0,0,1600,18
"2000","COASTAL EROSION",1,0,0,0,0,0,2
"2000","FLOOD",2,0,0,0,0,0,9
