Year,Event, DataCards, Deaths, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Losses $USD, Losses $Local
1965,GALE,1,0,1,5,0,30,0,0
1968,EPIDEMIC,1,0,0,0,0,9,0,0
1974,ANIMAL ATTACK,3,2,0,0,0,0,0,0
1974,DROUGHT,11,0,0,0,0,6737,0,0
1974,EPIDEMIC,1794,324,0,0,0,12213,0,0
1974,FIRE,3,0,0,0,0,0,0,0
1974,FLOOD,15,1,100,150,0,8100,0,0
1974,FROST,1,0,0,0,0,0,0,0
1974,LANDSLIDE,7,42,0,0,0,15,0,0
1974,LEAK OR SPILL,1,0,0,0,0,0,0,0
1974,LIGHTNING,1,2,0,0,0,0,0,0
1974,PLAGUE,4,0,0,0,0,0,0,0
1974,STRONG WIND,1,0,0,300,0,1500,0,0
1975,ANIMAL ATTACK,4,4,0,0,0,0,0,0
1975,DROUGHT,17,0,0,0,0,0,0,0
1975,EPIDEMIC,3266,43,0,0,0,20903,0,0
1975,FLOOD,7,0,0,0,0,3984,0,0
1975,FROST,1,0,0,0,0,0,0,0
1975,HEAVY RAINS,1,0,0,0,0,0,0,0
1975,LANDSLIDE,2,4,0,0,0,0,0,0
1975,LIGHTNING,1,5,0,0,0,15,0,0
1975,PLAGUE,1,0,0,0,0,0,0,0
1976,ANIMAL ATTACK,7,3,5,3,0,80,0,0
1976,DROUGHT,16,0,0,0,0,1780,0,0
1976,EPIDEMIC,2793,0,0,0,0,20999,0,0
1976,FIRE,5,2,0,1,0,5,0,0
1976,FLOOD,19,1,0,6002,0,51750,0,0
1976,FOREST FIRE,1,0,0,0,0,0,0,0
1976,HEAVY RAINS,1,0,0,0,0,0,0,0
1976,LANDSLIDE,1,3,1,0,0,5,0,0
1976,LIGHTNING,2,5,0,0,0,10,0,0
1976,PLAGUE,4,0,0,0,0,0,0,0
1976,STRONG WIND,3,0,0,0,0,0,0,0
1977,ANIMAL ATTACK,3,2,1,0,0,5,0,0
1977,COASTLINE,1,0,0,0,0,0,0,0
1977,DROUGHT,10,0,0,0,0,16965,0,0
1977,EPIDEMIC,2206,0,0,0,0,12637,0,0
1977,FIRE,6,2,0,3,0,15,0,0
1977,FLOOD,20,0,0,14,0,6766,0,0
1977,HEAVY RAINS,1,0,0,0,0,0,0,0
1977,LANDSLIDE,1,0,0,0,0,0,0,0
1977,LIGHTNING,1,1,0,0,0,2,0,0
1977,PLAGUE,5,0,0,0,0,0,0,0
1977,SNAKE BITE,3,3,0,0,0,5,0,0
1977,STRONG WIND,2,0,0,0,0,0,0,0
1977,STRUCTURE,1,1,0,0,0,0,0,0
1978,ANIMAL ATTACK,15,16,0,0,0,0,0,0
1978,COASTLINE,1,0,0,0,0,0,0,0
1978,CYCLONE,38,834,6699,23273,0,476756,0,0
1978,DROUGHT,17,0,0,0,0,80000,0,0
1978,EPIDEMIC,1919,0,0,0,0,10932,0,0
1978,FIRE,8,0,26,61,0,530,0,0
1978,FLOOD,109,9,1165,8584,0,203806,0,0
1978,FOREST FIRE,1,0,0,0,0,0,0,0
1978,HAILSTORM,1,0,0,0,0,0,0,0
1978,HEAVY RAINS,3,0,0,2,0,10,0,0
1978,LANDSLIDE,15,31,36,21,0,1195,0,0
1978,LIGHTNING,6,9,0,1,0,16,0,0
1978,PLAGUE,6,0,0,0,0,0,0,0
1978,SNAKE BITE,8,8,0,0,0,0,0,0
1978,STRONG WIND,22,0,0,0,0,15,0,0
1978,STRUCTURE,3,4,0,0,0,0,0,0
1978,SURGE,3,0,0,6,0,414,0,0
1978,TIDAL WAVE,1,0,0,0,0,0,0,0
1979,ANIMAL ATTACK,5,3,0,17,0,85,0,0
1979,DROUGHT,27,0,0,0,0,0,0,0
1979,FIRE,7,2,0,1,0,255,0,200000
1979,FLOOD,13,0,0,0,0,5800,0,0
1979,FOREST FIRE,4,0,10,0,0,100,0,0
1979,LANDSLIDE,1,0,0,0,0,100,0,0
1979,LIGHTNING,6,11,0,0,0,21,0,0
1979,PLAGUE,18,0,0,0,0,0,0,0
1979,SNAKE BITE,2,1,0,0,0,0,0,0
1979,STRONG WIND,8,0,0,50,0,254,0,0
1980,ANIMAL ATTACK,11,9,15,14,0,121,0,0
1980,DROUGHT,20,0,0,0,0,0,0,0
1980,EPIDEMIC,71,0,0,0,0,757,0,0
1980,FIRE,13,2,0,0,0,0,0,0
1980,FLOOD,7,0,0,4,0,2135,0,0
1980,FOREST FIRE,3,0,0,0,0,0,0,0
1980,HAILSTORM,1,0,0,0,0,0,0,0
1980,LIGHTNING,6,6,0,2,0,16,0,0
1980,PLAGUE,5,0,0,0,0,0,0,0
1980,SNAKE BITE,16,15,0,0,0,0,0,0
1980,STRONG WIND,7,0,0,0,0,0,0,0
1980,STRUCTURE,3,3,0,0,0,0,0,0
1981,ANIMAL ATTACK,11,8,0,12,0,60,0,0
1981,DROUGHT,12,0,0,0,0,88035,0,0
1981,EPIDEMIC,1535,0,0,0,0,7676,0,0
1981,FIRE,17,4,25,0,0,125,0,500000
1981,FLOOD,19,7,138,61,0,46900,0,0
1981,FOREST FIRE,2,0,0,0,0,0,0,0
1981,HAILSTORM,4,0,0,0,0,0,0,0
1981,LANDSLIDE,1,0,0,0,0,0,0,0
1981,LIGHTNING,3,5,0,0,0,11,0,0
1981,PLAGUE,7,0,0,0,0,0,0,0
1981,SNAKE BITE,8,8,0,0,0,0,0,0
1981,STRONG WIND,14,0,0,630,0,3250,0,0
1981,STRUCTURE,3,1,0,1,0,5,0,0
1981,URBAN FLOOD,2,0,0,0,0,0,0,0
1982,ANIMAL ATTACK,11,3,0,0,0,46,0,0
1982,DROUGHT,52,0,0,0,0,508875,0,0
1982,EPIDEMIC,38,0,0,0,0,652,0,0
1982,FIRE,10,2,55,0,0,290,0,0
1982,FLOOD,27,1,0,1814,0,212897,0,0
1982,FOREST FIRE,1,0,0,0,0,0,0,0
1982,HAILSTORM,4,0,0,0,0,0,0,0
1982,LANDSLIDE,8,39,15,5,0,175,0,0
1982,LIGHTNING,8,8,0,0,0,30,0,0
1982,SNAKE BITE,13,13,0,0,0,0,0,0
1982,STRONG WIND,3,0,0,0,0,0,0,0
1982,STRUCTURE,5,5,2,1,0,17,0,0
1983,ANIMAL ATTACK,5,1,0,0,0,0,0,0
1983,COASTLINE,1,0,0,0,0,0,0,0
1983,DROUGHT,51,0,0,0,0,463680,0,0
1983,EPIDEMIC,1908,0,0,0,0,24180,0,0
1983,FIRE,7,7,0,1,0,5,0,0
1983,FLOOD,20,17,887,781,0,21878,0,0
1983,FOREST FIRE,2,0,0,0,0,0,0,0
1983,HAILSTORM,1,0,0,0,0,0,0,0
1983,HEAVY RAINS,5,0,0,0,0,3000,0,0
1983,LANDSLIDE,3,2,0,0,0,0,0,0
1983,LIGHTNING,1,0,0,0,0,0,0,0
1983,PLAGUE,3,0,0,0,0,0,0,0
1983,SNAKE BITE,4,4,0,0,0,0,0,0
1983,SURGE,1,0,0,11,0,289,0,0
1983,URBAN FLOOD,1,0,0,0,0,0,0,0
1984,ANIMAL ATTACK,30,8,4,3,0,35,0,0
1984,DROUGHT,9,0,0,0,0,1266,0,0
1984,FLOOD,88,2,80,3218,0,196167,0,0
1984,HEAVY RAINS,1,0,0,0,0,50000,0,0
1984,LANDSLIDE,10,17,17,0,0,85,0,0
1984,LIGHTNING,4,5,0,0,0,7,0,0
1984,PLAGUE,3,0,0,0,0,0,0,0
1984,SNAKE BITE,7,7,0,0,0,0,0,0
1984,STRONG WIND,4,0,0,0,0,0,0,0
1984,STRUCTURE,2,2,0,0,0,0,0,0
1984,URBAN FLOOD,2,0,0,0,0,0,0,0
1985,ANIMAL ATTACK,20,2,1,1,0,10,0,0
1985,COASTLINE,1,0,0,0,0,0,0,0
1985,DROUGHT,26,0,0,0,0,225000,0,0
