"Year","Event","DataCards","Deaths","Houses.Ruined","Affected","Monetary.LossUSD","Event_Severity","Event_factor"
"1965","GALE",1,0,6,30,0,0,24
"1968","EPIDEMIC",1,0,0,9,0,0,17
"1974","ANIMAL ATTACK",3,2,0,0,0,67,2
"1974","DROUGHT",11,0,0,6737,0,0,13
"1974","EPIDEMIC",1794,324,0,12213,0,18,17
"1974","FIRE",3,0,0,0,0,0,19
"1974","FLOOD",15,1,250,8100,0,7,21
"1974","FROST",1,0,0,0,0,0,23
"1974","LANDSLIDE",7,42,0,15,0,600,29
"1974","LEAK OR SPILL",1,0,0,0,0,0,30
"1974","LIGHTNING",1,2,0,0,0,200,31
"1974","PLAGUE",4,0,0,0,0,0,32
"1974","STRONG WIND",1,0,300,1500,0,0,38
"1975","ANIMAL ATTACK",4,4,0,0,0,100,2
"1975","DROUGHT",17,0,0,0,0,0,13
"1975","EPIDEMIC",3266,43,0,20903,0,1,17
"1975","FLOOD",7,0,0,3984,0,0,21
"1975","FROST",1,0,0,0,0,0,23
"1975","HEAVY RAINS",1,0,0,0,0,0,27
"1975","LANDSLIDE",2,4,0,0,0,200,29
"1975","LIGHTNING",1,5,0,15,0,500,31
"1975","PLAGUE",1,0,0,0,0,0,32
"1976","ANIMAL ATTACK",7,3,8,80,0,43,2
"1976","DROUGHT",16,0,0,1780,0,0,13
"1976","EPIDEMIC",2793,0,0,20999,0,0,17
"1976","FIRE",5,2,1,5,0,40,19
"1976","FLOOD",19,1,6002,51750,0,5,21
"1976","FOREST FIRE",1,0,0,0,0,0,22
"1976","HEAVY RAINS",1,0,0,0,0,0,27
"1976","LANDSLIDE",1,3,1,5,0,300,29
"1976","LIGHTNING",2,5,0,10,0,250,31
"1976","PLAGUE",4,0,0,0,0,0,32
"1976","STRONG WIND",3,0,0,0,0,0,38
"1977","ANIMAL ATTACK",3,2,1,5,0,67,2
"1977","COASTLINE",1,0,0,0,0,0,6
"1977","DROUGHT",10,0,0,16965,0,0,13
"1977","EPIDEMIC",2206,0,0,12637,0,0,17
"1977","FIRE",6,2,3,15,0,33,19
"1977","FLOOD",20,0,14,6766,0,0,21
"1977","HEAVY RAINS",1,0,0,0,0,0,27
"1977","LANDSLIDE",1,0,0,0,0,0,29
"1977","LIGHTNING",1,1,0,2,0,100,31
"1977","PLAGUE",5,0,0,0,0,0,32
"1977","SNAKE BITE",3,3,0,5,0,100,36
"1977","STRONG WIND",2,0,0,0,0,0,38
"1977","STRUCTURE",1,1,0,0,0,100,39
"1978","ANIMAL ATTACK",15,16,0,0,0,107,2
"1978","COASTLINE",1,0,0,0,0,0,6
"1978","CYCLONE",38,834,29972,476756,0,2195,11
"1978","DROUGHT",17,0,0,80000,0,0,13
"1978","EPIDEMIC",1919,0,0,10932,0,0,17
"1978","FIRE",8,0,87,530,0,0,19
"1978","FLOOD",109,9,9749,203806,0,8,21
"1978","FOREST FIRE",1,0,0,0,0,0,22
"1978","HAILSTORM",1,0,0,0,0,0,26
"1978","HEAVY RAINS",3,0,2,10,0,0,27
"1978","LANDSLIDE",15,31,57,1195,0,207,29
"1978","LIGHTNING",6,9,1,16,0,150,31
"1978","PLAGUE",6,0,0,0,0,0,32
"1978","SNAKE BITE",8,8,0,0,0,100,36
"1978","STRONG WIND",22,0,0,15,0,0,38
"1978","STRUCTURE",3,4,0,0,0,133,39
"1978","SURGE",3,0,6,414,0,0,41
"1978","TIDAL WAVE",1,0,0,0,0,0,42
"1979","ANIMAL ATTACK",5,3,17,85,0,60,2
"1979","DROUGHT",27,0,0,0,0,0,13
"1979","FIRE",7,2,1,255,600,29,19
"1979","FLOOD",13,0,0,5800,0,0,21
"1979","FOREST FIRE",4,0,10,100,0,0,22
"1979","LANDSLIDE",1,0,0,100,0,0,29
"1979","LIGHTNING",6,11,0,21,0,183,31
"1979","PLAGUE",18,0,0,0,0,0,32
"1979","SNAKE BITE",2,1,0,0,0,50,36
"1979","STRONG WIND",8,0,50,254,0,0,38
"1980","ANIMAL ATTACK",11,9,29,121,0,82,2
"1980","DROUGHT",20,0,0,0,0,0,13
"1980","EPIDEMIC",71,0,0,757,0,0,17
"1980","FIRE",13,2,0,0,0,15,19
"1980","FLOOD",7,0,4,2135,0,0,21
"1980","FOREST FIRE",3,0,0,0,0,0,22
"1980","HAILSTORM",1,0,0,0,0,0,26
"1980","LIGHTNING",6,6,2,16,0,100,31
"1980","PLAGUE",5,0,0,0,0,0,32
"1980","SNAKE BITE",16,15,0,0,0,94,36
"1980","STRONG WIND",7,0,0,0,0,0,38
"1980","STRUCTURE",3,3,0,0,0,100,39
"1981","ANIMAL ATTACK",11,8,12,60,0,73,2
"1981","DROUGHT",12,0,0,88035,0,0,13
"1981","EPIDEMIC",1535,0,0,7676,0,0,17
"1981","FIRE",17,4,25,125,1500,24,19
"1981","FLOOD",19,7,199,46900,0,37,21
"1981","FOREST FIRE",2,0,0,0,0,0,22
"1981","HAILSTORM",4,0,0,0,0,0,26
"1981","LANDSLIDE",1,0,0,0,0,0,29
"1981","LIGHTNING",3,5,0,11,0,167,31
"1981","PLAGUE",7,0,0,0,0,0,32
"1981","SNAKE BITE",8,8,0,0,0,100,36
"1981","STRONG WIND",14,0,630,3250,0,0,38
