Year,Event, DataCards, Deaths, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Losses $USD, Losses $Local
1872,CYCLONE,1,0,0,0,0,0,0,0
1913,DROUGHT,1,0,0,0,0,0,0,0
1919,DROUGHT,1,0,0,0,0,0,0,0
1929,DROUGHT,1,0,0,0,0,0,0,0
1931,DROUGHT,2,0,0,0,0,48000,0,0
1934,FLOOD,1,0,0,0,0,0,0,0
1940,DROUGHT,1,0,0,0,0,0,0,0
1941,DROUGHT,1,0,0,0,0,0,0,0
1942,DROUGHT,1,0,0,0,0,0,0,0
1943,DROUGHT,1,0,0,0,0,50000,0,0
1948,INSECT INFESTATION,1,0,0,0,0,0,0,0
1949,DROUGHT,2,0,0,0,0,0,0,0
1952,CYCLONE,1,34,0,0,0,0,0,0
1953,DROUGHT,2,0,0,0,0,40500,0,0
1961,DROUGHT,1,0,0,0,0,11393,0,0
1964,EARTHQUAKE,1,4,0,0,0,500,0,0
1964,FLOOD,3,0,0,0,0,4900,0,0
1967,DROUGHT,1,0,0,0,0,10000,0,0
1968,FLOOD,2,0,0,0,0,52500,0,0
1970,FLOOD,1,0,0,0,0,44000,0,0
1971,DROUGHT,1,0,0,0,0,25000,0,0
1972,DROUGHT,2,0,0,0,0,38000,0,0
1972,FLOOD,2,0,0,0,0,870,0,0
1972,FOREST FIRE,1,0,0,0,0,138,0,0
1972,LANDSLIDE,1,22,0,0,0,0,0,0
1973,FOREST FIRE,1,0,0,0,0,251620,0,0
1974,DROUGHT,1,0,0,0,0,250,0,0
1974,FLOOD,2,0,0,0,0,39000,0,0
1974,FOREST FIRE,2,0,0,0,0,852,0,0
1975,FLOOD,1,0,25,0,0,0,0,0
1975,FOREST FIRE,1,0,65,0,0,226,0,0
1976,FLOOD,3,0,41,0,0,5547,0,0
1977,CYCLONE,1,0,216,0,0,0,0,0
1977,DROUGHT,3,0,0,0,0,86000,0,0
1977,EPIDEMIC,1,500,0,0,6000,6000,0,0
1977,FOREST FIRE,2,0,46,0,0,380,0,0
1978,EPIDEMIC,1,51,0,0,462,411,0,0
1978,FLOOD,2,0,0,0,0,4189,0,0
1978,FOREST FIRE,1,0,154,0,0,500,0,0
1979,FLOOD,9,0,0,0,0,90457,0,0
1980,DROUGHT,1,12,0,0,0,0,0,0
1980,FLOOD,1,0,0,0,0,4000,0,0
1981,FLOOD,1,0,0,0,0,1200,0,0
1981,FOREST FIRE,2,0,155,0,0,588,0,0
1982,DROUGHT,2,0,0,0,0,1014067,0,0
1982,FIRE,1,71,0,0,0,0,0,0
1982,FLOOD,2,0,0,0,0,23423,0,0
1982,FOREST FIRE,1,0,0,0,0,0,0,0
1982,LANDSLIDE,1,3,0,0,0,0,0,0
1983,EPIDEMIC,3,183,0,0,0,459,0,0
1983,FOREST FIRE,1,0,71,0,0,287,0,0
1984,DROUGHT,1,0,0,0,0,0,0,0
1984,FIRE,1,0,0,0,0,0,0,0
1985,EPIDEMIC,1,10,0,0,0,118,0,0
1986,DROUGHT,1,0,0,0,0,250000,0,0
1986,FIRE,1,0,0,0,0,0,0,0
1986,FLOOD,2,0,0,0,0,17500,0,0
1986,INSECT INFESTATION,1,0,0,0,0,0,0,0
1987,EPIDEMIC,1,90,0,0,0,500,0,0
