"Year","Event","DataCards","Deaths","Houses.Ruined","Affected","Monetary.LossUSD","Event_Severity","Event_factor"
"1872","CYCLONE",1,0,0,0,0,0,6
"1913","DROUGHT",1,0,0,0,0,0,7
"1919","DROUGHT",1,0,0,0,0,0,7
"1929","DROUGHT",1,0,0,0,0,0,7
"1931","DROUGHT",2,0,0,48000,0,0,7
"1934","FLOOD",1,0,0,0,0,0,12
"1940","DROUGHT",1,0,0,0,0,0,7
"1941","DROUGHT",1,0,0,0,0,0,7
"1942","DROUGHT",1,0,0,0,0,0,7
"1943","DROUGHT",1,0,0,50000,0,0,7
"1948","INSECT INFESTATION",1,0,0,0,0,0,19
"1949","DROUGHT",2,0,0,0,0,0,7
"1952","CYCLONE",1,34,0,0,0,3400,6
"1953","DROUGHT",2,0,0,40500,0,0,7
"1961","DROUGHT",1,0,0,11393,0,0,7
"1964","EARTHQUAKE",1,4,0,500,0,400,8
"1964","FLOOD",3,0,0,4900,0,0,12
"1967","DROUGHT",1,0,0,10000,0,0,7
"1968","FLOOD",2,0,0,52500,0,0,12
"1970","FLOOD",1,0,0,44000,0,0,12
"1971","DROUGHT",1,0,0,25000,0,0,7
"1972","DROUGHT",2,0,0,38000,0,0,7
"1972","FLOOD",2,0,0,870,0,0,12
"1972","FOREST FIRE",1,0,0,138,0,0,13
"1972","LANDSLIDE",1,22,0,0,0,2200,20
"1973","FOREST FIRE",1,0,0,251620,0,0,13
"1974","DROUGHT",1,0,0,250,0,0,7
"1974","FLOOD",2,0,0,39000,0,0,12
"1974","FOREST FIRE",2,0,0,852,0,0,13
"1975","FLOOD",1,0,25,0,0,0,12
"1975","FOREST FIRE",1,0,65,226,0,0,13
"1976","FLOOD",3,0,41,5547,0,0,12
"1977","CYCLONE",1,0,216,0,0,0,6
"1977","DROUGHT",3,0,0,86000,0,0,7
"1977","EPIDEMIC",1,500,0,12000,0,50000,9
"1977","FOREST FIRE",2,0,46,380,0,0,13
"1978","EPIDEMIC",1,51,0,873,0,5100,9
"1978","FLOOD",2,0,0,4189,0,0,12
"1978","FOREST FIRE",1,0,154,500,0,0,13
"1979","FLOOD",9,0,0,90457,0,0,12
"1980","DROUGHT",1,12,0,0,0,1200,7
"1980","FLOOD",1,0,0,4000,0,0,12
"1981","FLOOD",1,0,0,1200,0,0,12
