Year,Event, DataCards, Deaths, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Losses $USD, Losses $Local
1982,FLOOD,40,124,1824,5901,0,0,0,23029448
1982,HAILSTORM,6,0,0,0,0,0,0,0
1982,STRONG WIND,4,0,0,0,0,0,0,0
1983,DROUGHT,15,0,0,0,0,0,0,513428
1983,LANDSLIDE,1,2,0,0,0,0,0,0
1984,EPIDEMIC,1,0,0,0,0,61,0,0
1984,FIRE,3,0,0,0,0,2,0,800000
1984,FLOOD,5,0,0,0,0,0,0,0
1984,SNOWSTORM,1,0,0,0,0,0,0,0
1985,EARTHQUAKE,1,0,0,0,0,0,0,0
1985,EPIDEMIC,1,0,0,0,0,34,0,0
1985,FIRE,3,0,0,2,0,9,0,400000
1985,HAILSTORM,1,0,0,0,0,0,0,0
1986,DROUGHT,11,0,0,0,0,0,0,705991
1986,EPIDEMIC,1,0,0,0,0,1128,0,0
1986,FIRE,1,0,0,0,0,0,0,250000
1986,FLOOD,6,17,3,72,0,0,0,0
1986,STRONG WIND,1,0,0,0,0,0,0,0
1987,EPIDEMIC,1,0,0,0,0,231,0,0
1987,EXPLOSION,2,1,0,0,0,0,0,0
1987,FIRE,1,0,0,0,0,0,0,2000000
1987,FLOOD,1,0,0,0,0,0,0,0
1987,FOREST FIRE,1,0,0,0,0,3,0,70000
1988,ANNIMAL ATTACK,13,0,0,0,0,0,0,0
1988,EARTHQUAKE,7,0,90,0,0,0,0,0
1988,EPIDEMIC,1,0,0,0,0,114,0,0
1988,FIRE,4,0,0,1,0,0,0,1010000
1988,FLOOD,2,1,0,0,0,7,63293,103200
1988,FOREST FIRE,1,0,0,0,0,0,0,0
1988,HAILSTORM,5,0,0,0,0,0,0,0
1988,STORM,2,0,20,29,0,49,0,31334
1989,EARTHQUAKE,1,0,13,2420,0,60000,0,0
1989,ELECTRIC STORM,4,5,0,0,3,3,0,0
1989,EPIDEMIC,1,0,0,0,0,23,0,0
1989,FLOOD,2,5,0,0,2,2,0,0
1990,ANNIMAL ATTACK,6,9,0,0,6785,6785,0,90000
1990,DROUGHT,6,0,0,0,0,0,0,2684020
1990,EPIDEMIC,1,0,0,0,0,40,0,0
1990,FIRE,3,0,0,1,70,70,0,0
1990,FLOOD,53,21,15833,11473,20430,22635,5175754,9666743
1990,FOREST FIRE,2,0,0,0,0,0,0,0
1991,EPIDEMIC,1,0,0,0,0,43,0,0
1991,FIRE,3,4,3,0,0,0,0,770000
1991,FLOOD,2,3,0,0,0,0,122661,200000
1991,FOREST FIRE,1,0,0,0,0,0,0,0
1991,HAILSTORM,3,0,0,0,0,0,0,0
1991,STRUCTURE,1,1,0,0,0,0,0,0
1992,DROUGHT,7,0,0,0,0,0,10288726,21470000
1992,EPIDEMIC,6,0,0,0,0,3460,0,0
1992,FOREST FIRE,1,0,0,0,0,0,0,0
1992,HAILSTORM,1,0,0,0,0,0,0,0
1993,DROUGHT,106,0,0,0,0,0,0,13206990
1993,EPIDEMIC,1,0,0,0,0,38,0,0
1993,EXPLOSION,1,1,0,0,0,0,0,0
1993,FOREST FIRE,4,0,0,0,0,0,0,0
1993,STRUCTURE,1,1,0,0,0,0,0,0
1994,CONTAMINATION,2,0,0,0,0,0,0,0
