"Year","Event","DataCards","Deaths","Houses.Ruined","Affected","Monetary.LossUSD","Event_Severity","Event_factor"
"1982","FLOOD",40,124,7725,0,7369423,310,10
"1982","HAILSTORM",6,0,0,0,0,0,13
"1982","STRONG WIND",4,0,0,0,0,0,22
"1983","DROUGHT",15,0,0,0,164296,0,4
"1983","LANDSLIDE",1,2,0,0,0,200,17
"1984","EPIDEMIC",1,0,0,61,0,0,7
"1984","FIRE",3,0,0,2,256000,0,9
"1984","FLOOD",5,0,0,0,0,0,10
"1984","SNOWSTORM",1,0,0,0,0,0,20
"1985","EARTHQUAKE",1,0,0,0,0,0,5
"1985","EPIDEMIC",1,0,0,34,0,0,7
"1985","FIRE",3,0,2,9,128000,0,9
"1985","HAILSTORM",1,0,0,0,0,0,13
"1986","DROUGHT",11,0,0,0,225917,0,4
"1986","EPIDEMIC",1,0,0,1128,0,0,7
"1986","FIRE",1,0,0,0,80000,0,9
"1986","FLOOD",6,17,75,0,0,283,10
"1986","STRONG WIND",1,0,0,0,0,0,22
"1987","EPIDEMIC",1,0,0,231,0,0,7
"1987","EXPLOSION",2,1,0,0,0,50,8
"1987","FIRE",1,0,0,0,640000,0,9
"1987","FLOOD",1,0,0,0,0,0,10
"1987","FOREST FIRE",1,0,0,3,22400,0,11
"1988","ANNIMAL ATTACK",13,0,0,0,0,0,1
"1988","EARTHQUAKE",7,0,90,0,0,0,5
"1988","EPIDEMIC",1,0,0,114,0,0,7
"1988","FIRE",4,0,1,0,323200,0,9
"1988","FLOOD",2,1,0,7,96317,50,10
"1988","FOREST FIRE",1,0,0,0,0,0,11
"1988","HAILSTORM",5,0,0,0,0,0,13
"1988","STORM",2,0,49,49,10026,0,21
"1989","EARTHQUAKE",1,0,2433,60000,0,0,5
"1989","ELECTRIC STORM",4,5,0,6,0,125,6
"1989","EPIDEMIC",1,0,0,23,0,0,7
"1989","FLOOD",2,5,0,4,0,250,10
"1990","ANNIMAL ATTACK",6,9,0,13570,28800,150,1
"1990","DROUGHT",6,0,0,0,858886,0,4
"1990","EPIDEMIC",1,0,0,40,0,0,7
"1990","FIRE",3,0,1,140,0,0,9
"1990","FLOOD",53,21,27306,43065,8269111,40,10
"1990","FOREST FIRE",2,0,0,0,0,0,11
"1991","EPIDEMIC",1,0,0,43,0,0,7
"1991","FIRE",3,4,3,0,246400,133,9
"1991","FLOOD",2,3,0,0,186661,150,10
"1991","FOREST FIRE",1,0,0,0,0,0,11
"1991","HAILSTORM",3,0,0,0,0,0,13
"1991","STRUCTURE",1,1,0,0,0,100,23
"1992","DROUGHT",7,0,0,0,17159126,0,4
"1992","EPIDEMIC",6,0,0,3460,0,0,7
"1992","FOREST FIRE",1,0,0,0,0,0,11
"1992","HAILSTORM",1,0,0,0,0,0,13
"1993","DROUGHT",106,0,0,0,4226236,0,4
"1993","EPIDEMIC",1,0,0,38,0,0,7
"1993","EXPLOSION",1,1,0,0,0,100,8
"1993","FOREST FIRE",4,0,0,0,0,0,11
"1993","STRUCTURE",1,1,0,0,0,100,23
"1994","CONTAMINATION",2,0,0,0,0,0,3
"1994","DROUGHT",130,0,0,0,45365437,0,4
"1994","EARTHQUAKE",1,0,0,0,0,0,5
"1994","EPIDEMIC",1,0,0,36,0,0,7
"1994","FOREST FIRE",7,0,0,0,0,0,11
"1995","CONTAMINATION",1,0,0,0,0,0,3
"1995","DROUGHT",18,0,0,0,5436068,0,4
"1995","EARTHQUAKE",3,0,0,0,0,0,5
"1995","EPIDEMIC",1,0,0,8,0,0,7
"1995","EXPLOSION",1,0,0,220,0,0,8
"1995","FLOOD",10,8,0,0,54695,80,10
"1995","FOREST FIRE",1,0,0,0,0,0,11
"1995","HEAT WAVE",1,0,0,0,0,0,14
"1996","CONTAMINATION",2,0,0,0,16000,0,3
"1996","DROUGHT",114,0,0,0,8805605,0,4
"1996","EPIDEMIC",1,0,0,9,0,0,7
"1996","FIRE",2,0,0,0,128000,0,9
"1996","FOREST FIRE",2,0,0,0,0,0,11
"1997","DROUGHT",7,0,0,0,3379199,0,4
"1997","EPIDEMIC",19,40,0,928,0,211,7
"1997","FIRE",1,0,0,0,64000,0,9
"1997","FLOOD",6,0,0,0,96749,0,10
"1997","INTOXICATION",1,0,0,21,0,0,16
"1998","EPIDEMIC",1,0,0,6,0,0,7
"1998","FOREST FIRE",1,0,0,0,0,0,11
"1999","CONTAMINATION",1,0,0,0,0,0,3
"1999","DROUGHT",139,0,0,0,29046573,0,4
"1999","EPIDEMIC",1,0,0,3,0,0,7
"1999","FLOOD",1,0,0,0,28068,0,10
"2000","DROUGHT",112,0,0,0,41718475,0,4
"2000","EPIDEMIC",1,0,0,42,0,0,7
"2000","FIRE",1,0,0,0,0,0,9
"2000","FLOOD",7,0,0,0,0,0,10
"2000","FOREST FIRE",5,0,0,0,0,0,11
"2001","CONTAMINATION",4,0,0,0,0,0,3
"2001","DROUGHT",165,0,0,0,53402131,0,4
"2001","EPIDEMIC",1,0,0,206,0,0,7
"2001","FIRE",1,0,1,0,0,0,9
"2001","FLOOD",1,0,0,0,0,0,10
"2001","FOREST FIRE",2,0,0,0,0,0,11
"2001","STRUCTURE",1,0,0,0,0,0,23
"2002","CONTAMINATION",1,0,0,0,0,0,3
"2002","EARTHQUAKE",2,0,0,0,0,0,5
"2002","EPIDEMIC",1,0,0,496,0,0,7
"2002","FLOOD",1,13,0,0,395200,1300,10
"2002","FOREST FIRE",2,0,0,0,0,0,11
"2003","CONTAMINATION",3,0,0,0,0,0,3
"2003","EARTHQUAKE",1,0,0,0,0,0,5
"2003","EPIDEMIC",19,39,0,1277,0,205,7
"2003","EXPLOSION",1,0,0,0,0,0,8
"2003","FLOOD",35,7,350,5005,40320002,20,10
"2003","SNOWSTORM",2,0,0,0,0,0,20
"2004","ANNIMAL ATTACK",17,0,0,0,0,0,1
"2004","DROUGHT",8,0,0,0,20722565,0,4
"2004","EPIDEMIC",1,0,0,830,0,0,7
"2004","FIRE",2,0,0,30,0,0,9
"2004","FLOOD",6,0,13,0,0,0,10
"2004","FOREST FIRE",1,0,0,0,0,0,11
"2004","INTOXICATION",1,0,0,9,0,0,16
"2004","STRONG WIND",5,3,17,0,0,60,22
"2005","CONTAMINATION",3,0,0,0,0,0,3
"2005","EPIDEMIC",1,0,0,538,0,0,7
"2005","FIRE",3,2,0,0,224000,67,9
"2005","FLOOD",15,0,0,2,0,0,10
"2005","FOREST FIRE",1,0,0,0,0,0,11
"2005","HAILSTORM",4,0,0,0,0,0,13
"2005","LANDSLIDE",2,0,0,0,0,0,17
"2005","SNOWSTORM",3,0,0,0,0,0,20
"2005","STRONG WIND",1,0,0,0,0,0,22
"2006","CONTAMINATION",6,0,0,0,0,0,3
"2006","EPIDEMIC",1,0,0,278,0,0,7
"2006","EXPLOSION",2,0,0,0,0,0,8
"2006","FIRE",1,0,0,0,224000,0,9
"2006","FLOOD",9,0,22,0,283541,0,10
"2006","HURRICANE",1,0,0,0,0,0,15
"2006","INTOXICATION",1,0,0,0,0,0,16
"2006","LANDSLIDE",1,0,26,0,0,0,17
"2006","STRUCTURE",1,8,0,0,0,800,23
"2007","CONTAMINATION",3,0,0,0,0,0,3
"2007","DROUGHT",108,0,0,0,9112499,0,4
"2007","EPIDEMIC",1,0,0,145,0,0,7
"2007","FIRE",3,0,0,0,64000,0,9
"2007","FLOOD",13,13,348,0,14400,100,10
"2007","FOREST FIRE",6,0,0,0,0,0,11
"2007","HAILSTORM",1,0,0,0,0,0,13
"2007","INTOXICATION",1,3,0,0,0,300,16
"2007","PANIC",1,6,0,0,0,600,19
"2008","CONTAMINATION",2,0,0,0,0,0,3
"2008","DROUGHT",17,0,0,0,12147981,0,4
"2008","EPIDEMIC",1,0,0,64,0,0,7
"2008","FIRE",3,1,2,14,96000,33,9
"2008","FLOOD",2,0,0,0,72000,0,10
"2008","FOREST FIRE",4,0,0,0,0,0,11
"2008","HAILSTORM",2,0,0,0,128000,0,13
"2008","STORM",1,0,0,0,0,0,21
"2009","BIOLOGICAL",1,0,0,0,0,0,2
"2009","DROUGHT",134,0,0,0,30914558,0,4
"2009","EPIDEMIC",29,66,0,4707,32000,228,7
"2009","FIRE",3,1,0,0,0,33,9
"2009","FLOOD",54,29,3761,87,21701738,54,10
"2009","FOREST FIRE",1,0,0,0,0,0,11
"2009","HAILSTORM",2,0,0,0,0,0,13
"2009","STRONG WIND",2,0,50,54,0,0,22
"2009","STRUCTURE",2,10,0,0,0,500,23
"2010","CONTAMINATION",5,0,0,0,0,0,3
"2010","DROUGHT",3,0,0,0,2073600,0,4
"2010","EARTHQUAKE",1,0,0,0,0,0,5
"2010","EPIDEMIC",10,6,0,660,93633,60,7
"2010","FIRE",2,0,0,0,0,0,9
"2010","FLOOD",8,0,0,49,516324,0,10
"2010","FOREST FIRE",5,0,0,0,970976,0,11
"2010","HAILSTORM",1,0,0,0,0,0,13
"2010","INTOXICATION",1,0,0,30,0,0,16
"2011","CONTAMINATION",2,0,0,0,0,0,3
"2011","EPIDEMIC",1,0,0,100,0,0,7
"2011","EXPLOSION",1,2,0,0,0,200,8
"2011","FIRE",8,40,0,254,2203478,500,9
"2011","FLOOD",68,8,156,0,10514593,12,10
