Year,Event, DataCards, Deaths, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Losses $USD, Losses $Local
1894,Earthquake,1,1500,0,1773,0,12500,0,0
1900,Earthquake,5,141,1,2055,0,0,0,0
1901,Earthquake,2,0,0,2104,0,0,0,0
1902,Earthquake,1,4,3000,3000,0,0,0,0
1903,Earthquake,4,3857,0,20000,0,0,0,0
1905,Earthquake,1,0,0,15,0,0,0,0
1907,Earthquake,4,0,0,0,0,0,0,0
1909,Earthquake,5,8,0,6775,0,0,0,0
1910,Earthquake,2,1,0,1600,0,0,0,0
1911,Earthquake,1,0,0,0,0,0,0,0
1912,Earthquake,4,2844,39635,5540,0,0,0,0
1914,Earthquake,4,2644,0,20563,0,0,0,0
1916,Earthquake,1,500,0,5000,0,0,0,0
1918,Earthquake,1,0,0,0,0,0,0,0
1919,Earthquake,2,3000,0,16000,0,0,0,0
1921,Earthquake,2,12,0,665,0,0,0,0
1924,Earthquake,4,241,97,700,0,0,0,0
1925,Earthquake,2,143,0,2043,0,0,0,0
1926,Earthquake,5,474,597,1844,0,0,0,0
1928,Earthquake,3,54,0,2000,0,0,0,0
1929,Earthquake,1,64,0,1692,0,0,0,0
1929,Landslide,1,146,2539,0,0,0,0,0
1930,Earthquake,2,0,53,0,0,3,0,0
1933,Earthquake,2,20,0,200,0,0,0,0
1934,Earthquake,1,12,0,200,0,0,0,0
1935,Earthquake,2,205,600,1900,0,0,0,0
1936,Earthquake,1,0,0,100,0,0,0,0
1938,Earthquake,2,149,0,4160,0,0,0,0
1939,Earthquake,3,33065,0,118455,0,0,0,0
1939,Mining accidents,1,23,0,0,0,0,0,0
1940,Earthquake,4,152,0,2366,0,0,0,0
1941,Earthquake,4,211,600,1400,0,0,0,0
1942,Earthquake,5,3065,0,34826,0,0,0,0
1942,Mining accidents,1,40,0,0,0,0,0,0
1943,Earthquake,2,3160,0,27240,0,0,0,0
1944,Earthquake,6,4037,0,27299,0,0,0,0
1945,Earthquake,4,212,0,4050,0,0,0,0
1945,Train accident,1,40,0,0,0,0,0,0
1946,Earthquake,2,851,0,2495,0,0,0,0
1947,Mining accidents,1,47,0,0,0,0,0,0
1948,Flood,1,92,0,0,0,35000,0,0
1948,Train accident,1,38,0,0,0,0,0,0
1949,Earthquake,3,451,0,4920,0,0,0,0
1949,Landslide,1,0,0,16,0,120,0,0
1950,Earthquake,2,22,0,100,0,0,0,0
1951,Earthquake,2,58,0,16740,0,0,0,0
1951,Landslide,1,0,1,11,0,47,0,0
1952,Earthquake,2,143,0,1619,0,0,0,0
1952,Train accident,1,31,0,0,0,0,0,0
1953,Earthquake,4,267,0,10819,0,0,0,0
1953,Forest fire,1,0,0,0,0,0,0,0
1953,Maritime disaster,1,88,0,0,0,0,0,0
1954,Forest fire,2,0,0,0,0,0,0,0
1954,Landslide,4,0,0,104,0,829,0,0
1954,Rockslide,2,0,0,69,0,174,0,0
1955,Earthquake,1,23,0,470,0,0,0,0
1955,Forest fire,3,0,0,0,0,0,0,225
1955,Landslide,1,0,0,0,0,0,0,0
1955,Mining accidents,1,55,0,0,0,0,0,0
1956,Earthquake,1,2,0,13362,0,0,0,0
1956,Forest fire,3,0,0,0,0,0,0,0
1956,Rockslide,1,0,0,10,0,50,0,0
1957,Earthquake,3,119,0,7601,0,0,0,0
1957,Flood,2,165,0,23,0,219,0,0
1957,Forest fire,4,0,0,0,0,0,0,6812
1957,Landslide,2,0,0,84,0,533,0,0
1957,Rockslide,2,0,0,111,0,654,0,0
1957,Train accident,1,95,0,0,0,0,0,0
1958,Landslide,5,0,0,49,0,354,0,0
1958,Maritime disaster,1,0,0,0,0,0,0,0
1958,Rockslide,1,0,0,30,0,0,0,0
1959,Aviation accident,1,12,0,0,0,0,0,0
1959,Earthquake,3,18,0,836,0,0,0,0
1959,Fire,1,7,0,8,0,0,0,0
1959,Landslide,2,0,0,192,0,169,0,0
1960,Aviation accident,1,42,0,0,0,0,0,0
1960,Earthquake,3,0,0,211,0,0,0,0
1960,Landslide,1,0,0,34,0,170,0,0
1960,Mining accidents,1,22,0,0,0,0,0,0
1961,Aviation accident,1,27,0,0,0,0,0,0
1961,Earthquake,1,0,0,144,0,0,0,0
1961,Flood,1,0,0,20,0,140,0,0
1961,Forest fire,2,0,0,0,0,0,0,4277
1961,Landslide,3,0,0,40,0,401,0,0
1961,Rockslide,4,0,0,86,0,455,0,0
1961,Train accident,1,15,0,0,0,0,0,0
1962,Aviation accident,1,11,0,0,0,0,0,0
1962,Earthquake,2,1,0,107,0,0,0,0
1962,Forest fire,3,0,0,0,0,0,0,29342
1962,Landslide,2,0,0,4,0,12,0,0
1963,Aviation accident,1,14,0,0,0,0,0,0
1963,Earthquake,3,1,0,582,0,0,0,0
1963,Flood,5,0,0,33,0,153,0,0
1963,Landslide,11,0,1,208,0,1356,0,0
1963,Rockslide,5,0,0,60,0,328,0,0
1964,Earthquake,3,32,0,6176,0,0,0,0
1964,Flood,2,0,0,0,0,104,0,0
1964,Forest fire,1,0,0,0,0,0,0,41000
1964,Landslide,6,0,0,143,0,923,0,0
1964,Rockslide,1,0,0,0,0,110,0,0
1965,Earthquake,3,26,0,2138,0,0,0,0
1965,Flood,3,0,0,22,0,145,0,0
1965,Landslide,6,0,0,152,0,576,0,0
1965,Mining accidents,1,72,0,0,0,0,0,0
1965,Rockslide,1,0,0,19,0,163,0,0
1966,Earthquake,3,2420,0,41142,0,0,0,0
1966,Fire,1,0,0,11,0,0,0,0
1966,Flood,3,0,0,28,0,193,0,0
1966,Forest fire,1,0,0,0,0,0,0,36500
1966,Landslide,10,0,6,242,0,1768,0,0
1966,Rockslide,1,0,0,17,0,140,0,0
1967,Earthquake,4,188,0,19072,0,0,0,0
1967,Fire,1,0,0,20,0,0,0,0
1967,Flood,2,0,0,37,0,288,0,0
1967,Landslide,6,0,0,268,0,2439,0,0
1967,Mining accidents,1,17,0,0,0,0,0,0
1967,Rockslide,8,0,0,215,0,1206,0,0
1968,Avalanche,1,1,1,0,0,0,0,0
1968,Earthquake,2,31,0,3765,0,0,0,0
1968,Flood,2,0,0,26,0,157,0,0
1968,Forest fire,4,0,0,0,0,0,0,705533
1968,Landslide,18,0,3,382,0,2729,0,0
1968,Rockslide,6,0,0,108,0,596,0,0
1969,Earthquake,6,42,0,14322,0,0,0,0
1969,Fire,1,0,0,45,0,0,0,0
1969,Flood,2,0,0,49,0,394,0,0
1969,Forest fire,25,0,0,0,0,0,0,13487377
1969,Landslide,19,0,16,434,0,2766,0,0
1969,Rockslide,3,0,0,92,0,675,0,0
1970,Avalanche,1,0,0,24,0,217,0,0
1970,Earthquake,4,1087,0,27370,0,0,0,0
1970,Flood,1,0,0,80,0,750,0,0
1970,Forest fire,18,0,0,0,0,0,0,1031727
1970,Landslide,12,0,8,213,0,1319,0,0
1970,Rockslide,5,0,0,72,0,635,0,0
1971,Earthquake,2,935,0,19016,0,0,0,601251971
1971,Flood,1,0,0,8,0,53,0,0
1971,Forest fire,11,0,0,0,0,0,0,922240
1971,Landslide,4,0,0,23,0,204,0,0
1971,Rockslide,4,0,0,38,0,240,0,0
1972,Earthquake,3,1,0,900,0,800,0,0
1972,Fire,2,0,0,60,0,0,0,0
1972,Flood,3,0,0,75,0,87,0,0
1972,Forest fire,5,0,0,0,0,0,0,1.16601E+12
1972,Landslide,9,0,0,67,0,450,0,0
1972,Mining accidents,2,39,0,0,0,0,0,0
1972,Rockslide,5,0,0,132,0,682,0,0
1972,Train accident,1,16,0,0,0,0,0,0
1973,Fire,1,0,0,15,0,0,0,0
1973,Flood,1,0,0,0,0,71,0,0
1973,Forest fire,18,0,0,0,0,0,0,97789066
1973,Landslide,2,0,0,19,0,106,0,0
1973,Rockslide,1,0,0,21,0,111,0,0
1974,Aviation accident,1,66,0,0,0,0,0,0
1974,Earthquake,1,2,0,170,0,0,0,0
1974,Fire,1,0,0,8,0,0,0,0
1974,Flood,2,0,0,14,0,92,0,0
1974,Forest fire,22,0,0,0,0,0,0,115350092
1974,Landslide,3,0,0,20,0,104,0,0
1974,Rockslide,3,0,0,56,0,323,0,0
1975,Avalanche,1,4,0,31,0,0,0,0
