"Year","Event","DataCards","Deaths","Houses.Ruined","Affected","Monetary.LossUSD","Event_Severity","Event_factor"
"1894","EARTHQUAKE",1,1500,1773,12500,0,150000,8
"1900","EARTHQUAKE",5,141,2056,0,0,2820,8
"1901","EARTHQUAKE",2,0,2104,0,0,0,8
"1902","EARTHQUAKE",1,4,6000,0,0,400,8
"1903","EARTHQUAKE",4,3857,20000,0,0,96425,8
"1905","EARTHQUAKE",1,0,15,0,0,0,8
"1907","EARTHQUAKE",4,0,0,0,0,0,8
"1909","EARTHQUAKE",5,8,6775,0,0,160,8
"1910","EARTHQUAKE",2,1,1600,0,0,50,8
"1911","EARTHQUAKE",1,0,0,0,0,0,8
"1912","EARTHQUAKE",4,2844,45175,0,0,71100,8
"1914","EARTHQUAKE",4,2644,20563,0,0,66100,8
"1916","EARTHQUAKE",1,500,5000,0,0,50000,8
"1918","EARTHQUAKE",1,0,0,0,0,0,8
"1919","EARTHQUAKE",2,3000,16000,0,0,150000,8
"1921","EARTHQUAKE",2,12,665,0,0,600,8
"1924","EARTHQUAKE",4,241,797,0,0,6025,8
"1925","EARTHQUAKE",2,143,2043,0,0,7150,8
"1926","EARTHQUAKE",5,474,2441,0,0,9480,8
"1928","EARTHQUAKE",3,54,2000,0,0,1800,8
"1929","EARTHQUAKE",1,64,1692,0,0,6400,8
"1929","LANDSLIDE",1,146,2539,0,0,14600,20
"1930","EARTHQUAKE",2,0,53,3,0,0,8
"1933","EARTHQUAKE",2,20,200,0,0,1000,8
"1934","EARTHQUAKE",1,12,200,0,0,1200,8
"1935","EARTHQUAKE",2,205,2500,0,0,10250,8
"1936","EARTHQUAKE",1,0,100,0,0,0,8
"1938","EARTHQUAKE",2,149,4160,0,0,7450,8
"1939","EARTHQUAKE",3,33065,118455,0,0,1102167,8
"1939","MINING ACCIDENTS",1,23,0,0,0,2300,22
"1940","EARTHQUAKE",4,152,2366,0,0,3800,8
"1941","EARTHQUAKE",4,211,2000,0,0,5275,8
"1942","EARTHQUAKE",5,3065,34826,0,0,61300,8
"1942","MINING ACCIDENTS",1,40,0,0,0,4000,22
"1943","EARTHQUAKE",2,3160,27240,0,0,158000,8
"1944","EARTHQUAKE",6,4037,27299,0,0,67283,8
"1945","EARTHQUAKE",4,212,4050,0,0,5300,8
"1945","TRAIN ACCIDENT",1,40,0,0,0,4000,35
"1946","EARTHQUAKE",2,851,2495,0,0,42550,8
"1947","MINING ACCIDENTS",1,47,0,0,0,4700,22
"1948","FLOOD",1,92,0,35000,0,9200,12
"1948","TRAIN ACCIDENT",1,38,0,0,0,3800,35
"1949","EARTHQUAKE",3,451,4920,0,0,15033,8
"1949","LANDSLIDE",1,0,16,120,0,0,20
"1950","EARTHQUAKE",2,22,100,0,0,1100,8
"1951","EARTHQUAKE",2,58,16740,0,0,2900,8
"1951","LANDSLIDE",1,0,12,47,0,0,20
"1952","EARTHQUAKE",2,143,1619,0,0,7150,8
"1952","TRAIN ACCIDENT",1,31,0,0,0,3100,35
"1953","EARTHQUAKE",4,267,10819,0,0,6675,8
"1953","FOREST FIRE",1,0,0,0,0,0,14
"1953","MARITIME DISASTER",1,88,0,0,0,8800,21
