Year,Event, DataCards, Deaths, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Losses $USD, Losses $Local
1933,FLOOD,2,50,0,0,0,0,0,0
1933,LANDSLIDE,2,50,0,0,0,0,0,0
1945,EARTHQUAKE,1,5,0,0,0,0,0,0
1964,LANDSLIDE,2,36,0,0,0,0,0,0
1966,EARTHQUAKE,2,257,0,6752,0,0,0,0
1970,LANDSLIDE,2,120,0,0,0,0,0,0
1982,DROUGHT,1,0,0,0,0,0,0,0
1986,DROUGHT,1,0,0,0,0,0,0,0
1989,ANIMAL ATTACK,2,1,0,0,0,0,0,0
1989,DROUGHT,1,0,0,0,0,0,0,0
1989,DROWNING,1,2,0,0,0,3,0,0
1989,FLOOD,3,1,0,0,0,0,0,0
1989,HAILSTORM,1,0,0,0,0,0,0,0
1989,LANDSLIDE,1,0,0,0,0,0,0,0
1989,STORM,7,0,0,0,0,20,0,0
1990,ACCIDENT,1,5,0,0,0,0,0,0
1990,ANIMAL ATTACK,2,3,0,0,0,0,0,0
1990,CONTAMINATION,1,0,0,0,0,0,0,0
1990,EPIDEMIC,4,158,0,0,0,0,0,0
1990,FIRE,1,0,0,0,0,0,0,0
1990,HAILSTORM,3,1,0,0,0,0,0,0
1990,LIGHTNING,2,8,0,0,0,0,0,0
1990,RAINSTORM,2,1,7,0,0,0,0,0
1991,ACCIDENT,1,17,0,0,0,0,0,0
1991,DROUGHT,2,0,0,0,0,0,0,0
1991,EPIDEMIC,5,149,0,0,0,0,0,0
1991,FIRE,2,2,2,0,0,0,0,0
1991,FLOOD,2,1,0,300,0,0,0,0
1991,LIGHTNING,4,6,0,0,0,0,0,0
1991,STORM,1,0,0,0,0,0,0,0
1992,ANIMAL ATTACK,1,0,0,0,0,0,0,0
1992,DROUGHT,4,0,0,0,0,0,0,0
1992,DROWNING,1,20,0,0,0,0,0,0
1992,EPIDEMIC,10,178,0,0,0,0,0,0
1992,FAMINE,4,2,0,0,0,0,0,0
1992,FIRE,1,0,0,0,0,0,0,0
1992,FLOOD,3,0,0,0,0,0,0,0
1992,HAILSTORM,1,0,0,0,0,0,0,0
1992,LIGHTNING,4,4,0,10,0,0,0,0
1992,OTHER,1,0,0,0,0,0,0,0
1992,RAINSTORM,3,1,1,13,0,0,0,0
1992,STORM,4,60,13,0,0,18,0,0
1992,WINDSTORM,1,0,0,0,0,0,0,0
1993,DROUGHT,2,0,0,0,0,1800000,0,0
1993,EPIDEMIC,3,46,0,0,0,0,0,0
1993,FIRE,2,0,0,0,0,0,0,0
1993,FLOOD,1,0,0,0,0,0,0,0
1993,HAILSTORM,3,0,0,0,0,50000,0,0
1993,STORM,2,2,0,0,0,2000,0,0
1993,WINDSTORM,1,0,0,0,0,0,0,0
1994,ACCIDENT,2,68,0,0,0,0,0,0
1994,EARTHQUAKE,6,16,2693,0,0,100000,0,0
1994,EPIDEMIC,5,50,0,0,0,0,0,0
1994,FAMINE,5,498,0,0,0,0,0,0
1994,FLOOD,5,1,0,0,0,0,0,0
1994,HAILSTORM,3,18,0,0,0,0,0,0
1994,LANDSLIDE,2,14,0,0,0,0,0,0
1994,LIGHTNING,3,4,0,0,0,0,0,0
1994,OTHER,1,13,0,0,0,0,0,0
1994,RAINSTORM,4,1,41,20,0,0,0,0
1994,STORM,1,0,0,0,0,0,0,0
1995,ACCIDENT,11,886,0,0,0,0,0,0
1995,ANIMAL ATTACK,3,4,0,0,0,0,0,0
1995,EPIDEMIC,7,47,0,0,0,0,0,0
1995,FAMINE,1,0,0,0,0,0,0,0
1995,FIRE,1,0,15,0,0,0,0,0
1995,FLOOD,6,9,0,0,0,0,0,0
1995,LANDSLIDE,1,0,0,0,0,0,0,0
1995,LIGHTNING,1,1,0,0,0,0,0,0
1995,RAINSTORM,1,0,10,0,0,0,0,0
1995,STORM,8,2,0,13,0,95,0,0
1996,ACCIDENT,1,6,0,0,0,0,0,0
1996,ANIMAL ATTACK,2,1,0,0,0,0,0,0
1996,EPIDEMIC,7,58,0,0,0,540,0,0
1996,FIRE,1,0,0,0,0,0,0,0
1996,FLOOD,4,0,0,0,0,0,0,0
1996,HAILSTORM,1,0,0,0,0,0,0,0
1996,LANDSLIDE,1,0,0,0,0,0,0,0
1996,RAINSTORM,1,0,0,0,0,0,0,0
1996,STORM,1,0,1,0,0,0,0,0
1997,ACCIDENT,1,7,0,0,0,0,0,0
1997,DROUGHT,1,0,0,0,0,0,0,0
1997,DROWNING,2,15,0,0,0,0,0,0
1997,EPIDEMIC,3,10,0,0,0,0,0,0
1997,FAMINE,3,5,0,0,0,0,0,0
1997,FIRE,3,1,2,0,0,6000,0,0
1997,FLOOD,5,8,0,31,0,100,0,0
1997,LANDSLIDE,6,129,97,0,0,0,0,0
1997,LIGHTNING,1,3,0,0,0,0,0,0
1997,RAINSTORM,3,0,87,0,0,267,0,0
1997,STORM,4,65,15,0,0,0,0,0
1998,ACCIDENT,2,16,0,0,0,0,0,0
1998,ANIMAL ATTACK,2,3,0,0,0,0,0,0
1998,DROUGHT,1,0,0,0,0,190000,0,0
1998,DROWNING,6,33,0,0,0,0,0,0
1998,EARTHQUAKE,1,0,0,0,0,0,0,0
1998,EPIDEMIC,14,248,0,0,0,40000,0,0
1998,FAMINE,2,0,0,0,0,0,0,0
1998,FIRE,2,0,1,0,0,0,0,0
1998,FLOOD,13,12,66,251,0,111,0,0
1998,HAILSTORM,4,0,0,1,0,2,0,0
1998,HEAT WAVE,1,0,0,0,0,0,0,0
1998,LANDSLIDE,1,5,0,0,0,0,0,0
1998,LIGHTNING,4,18,0,0,0,10,0,0
1998,RAINSTORM,1,0,1,0,0,0,0,0
1998,STORM,3,0,0,15,0,0,0,0
1999,ACCIDENT,5,1582,0,0,0,0,0,0
1999,ANIMAL ATTACK,2,3,0,0,0,400,0,0
1999,DROUGHT,1,0,0,0,0,0,0,0
