"Year","Event","DataCards","Deaths","Houses.Ruined","Affected","Monetary.LossUSD","Event_Severity","Event_factor"
"1933","FLOOD",2,50,0,0,0,2500,11
"1933","LANDSLIDE",2,50,0,0,0,2500,16
"1945","EARTHQUAKE",1,5,0,0,0,500,6
"1964","LANDSLIDE",2,36,0,0,0,1800,16
"1966","EARTHQUAKE",2,257,6752,0,0,12850,6
"1970","LANDSLIDE",2,120,0,0,0,6000,16
"1982","DROUGHT",1,0,0,0,0,0,4
"1986","DROUGHT",1,0,0,0,0,0,4
"1989","ANIMAL ATTACK",2,1,0,0,0,50,2
"1989","DROUGHT",1,0,0,0,0,0,4
"1989","DROWNING",1,2,0,3,0,200,5
"1989","FLOOD",3,1,0,0,0,33,11
"1989","HAILSTORM",1,0,0,0,0,0,13
"1989","LANDSLIDE",1,0,0,0,0,0,16
"1989","STORM",7,0,0,20,0,0,23
"1990","ACCIDENT",1,5,0,0,0,500,1
"1990","ANIMAL ATTACK",2,3,0,0,0,150,2
"1990","CONTAMINATION",1,0,0,0,0,0,3
"1990","EPIDEMIC",4,158,0,0,0,3950,7
"1990","FIRE",1,0,0,0,0,0,9
"1990","HAILSTORM",3,1,0,0,0,33,13
"1990","LIGHTNING",2,8,0,0,0,400,17
"1990","RAINSTORM",2,1,7,0,0,50,22
"1991","ACCIDENT",1,17,0,0,0,1700,1
"1991","DROUGHT",2,0,0,0,0,0,4
"1991","EPIDEMIC",5,149,0,0,0,2980,7
"1991","FIRE",2,2,2,0,0,100,9
"1991","FLOOD",2,1,300,0,0,50,11
"1991","LIGHTNING",4,6,0,0,0,150,17
"1991","STORM",1,0,0,0,0,0,23
"1992","ANIMAL ATTACK",1,0,0,0,0,0,2
"1992","DROUGHT",4,0,0,0,0,0,4
"1992","DROWNING",1,20,0,0,0,2000,5
"1992","EPIDEMIC",10,178,0,0,0,1780,7
"1992","FAMINE",4,2,0,0,0,50,8
"1992","FIRE",1,0,0,0,0,0,9
"1992","FLOOD",3,0,0,0,0,0,11
"1992","HAILSTORM",1,0,0,0,0,0,13
"1992","LIGHTNING",4,4,10,0,0,100,17
"1992","OTHER",1,0,0,0,0,0,19
"1992","RAINSTORM",3,1,14,0,0,33,22
"1992","STORM",4,60,13,18,0,1500,23
"1992","WINDSTORM",1,0,0,0,0,0,27
"1993","DROUGHT",2,0,0,1800000,0,0,4
"1993","EPIDEMIC",3,46,0,0,0,1533,7
"1993","FIRE",2,0,0,0,0,0,9
"1993","FLOOD",1,0,0,0,0,0,11
"1993","HAILSTORM",3,0,0,50000,0,0,13
"1993","STORM",2,2,0,2000,0,100,23
"1993","WINDSTORM",1,0,0,0,0,0,27
"1994","ACCIDENT",2,68,0,0,0,3400,1
"1994","EARTHQUAKE",6,16,2693,100000,0,267,6
"1994","EPIDEMIC",5,50,0,0,0,1000,7
"1994","FAMINE",5,498,0,0,0,9960,8
"1994","FLOOD",5,1,0,0,0,20,11
"1994","HAILSTORM",3,18,0,0,0,600,13
"1994","LANDSLIDE",2,14,0,0,0,700,16
"1994","LIGHTNING",3,4,0,0,0,133,17
"1994","OTHER",1,13,0,0,0,1300,19
"1994","RAINSTORM",4,1,61,0,0,25,22
"1994","STORM",1,0,0,0,0,0,23
"1995","ACCIDENT",11,886,0,0,0,8055,1
"1995","ANIMAL ATTACK",3,4,0,0,0,133,2
"1995","EPIDEMIC",7,47,0,0,0,671,7
"1995","FAMINE",1,0,0,0,0,0,8
"1995","FIRE",1,0,15,0,0,0,9
"1995","FLOOD",6,9,0,0,0,150,11
"1995","LANDSLIDE",1,0,0,0,0,0,16
"1995","LIGHTNING",1,1,0,0,0,100,17
"1995","RAINSTORM",1,0,10,0,0,0,22
"1995","STORM",8,2,13,95,0,25,23
"1996","ACCIDENT",1,6,0,0,0,600,1
