Year,Event, DataCards, Deaths, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Losses $USD, Losses $Local
1989,Hailstorm,2,9,374,510,0,0,0,0
1989,Storm,8,113,83909,5314,0,0,0,0
1990,Flash flood,5,112,584,265,0,20000,0,0
1990,Flood,6,23,2755,0,0,0,0,0
1990,Hailstorm,7,74,479,847,0,0,0,0
1990,Storm,7,41,6796,0,0,1035300,0,0
1991,Cold Wave,2,6,30,0,0,0,0,0
1991,Cyclone,3,8,1,0,0,0,0,0
1991,Flood,6,143,2977,0,0,1319390,0,0
1991,Hailstorm,2,3,46,407,0,0,0,0
1991,Landslide,2,33,372,928,0,2122,0,0
1991,Rain,4,196,78,0,0,23313,0,0
1991,Storm,4,21,11485,0,0,0,0,0
1992,Cyclone,3,3,0,0,0,0,0,0
1992,Flood,28,178,6171,0,0,559119,0,0
1992,Hailstorm,11,37,615,1265,0,0,0,0
1992,Landslide,6,67,54,180,0,0,0,0
1992,Storm,8,12,403,0,0,0,0,0
1992,Surge,5,11,77,0,0,0,0,0
1993,Flash flood,4,20,34,45,0,0,0,0
1993,Flood,11,115,12037,0,0,3361,0,0
1993,Hailstorm,16,31,2051,13929,0,0,0,0
1993,Storm,11,189,11032,0,0,120000,0,0
1994,Flash flood,7,38,429,2050,0,0,0,0
1994,Flood,29,436,3126,267,0,642958,0,0
1994,Hailstorm,17,28,2362,3776,0,0,0,0
1995,Cold Wave,5,69,1485,0,0,0,0,0
1995,Flash flood,8,10,311,507,0,0,0,0
1995,Flood,24,200,7336,0,0,43958,0,0
1995,Hailstorm,14,42,615,781,0,0,0,0
1996,Cyclone,16,242,853,0,0,720297,0,0
1996,Flash flood,6,115,407,17,0,0,0,0
1996,Flood,65,502,73596,0,0,206606,0,0
1997,Flash flood,14,15,225,1179,0,0,0,0
1997,Flood,61,875,108524,2,0,495495,0,0
1997,Surge,1,0,0,0,0,0,0,0
1998,Flood,57,385,11146,270,0,0,0,0
1998,Hailstorm,34,78,2066,16762,0,0,0,0
1998,Landslide,7,18,168,374,0,0,0,0
1999,Flash flood,12,50,1999,27046,0,15000,0,0
1999,Flood,33,736,49149,14,0,0,0,0
1999,Hailstorm,16,129,1233,3372,0,0,0,0
1999,Landslide,3,3,202,48,0,0,0,0
1999,Storm,5,1,0,15,0,0,0,0
2000,Cold Wave,1,0,0,39,0,0,0,0
2000,Cyclone,17,57,2068,0,0,0,0,0
2000,Flash flood,8,78,267,2236,0,0,0,0
2000,Flood,43,688,8018,405,0,0,0,0
2000,Hailstorm,13,29,1845,4752,0,0,0,0
2001,Flash flood,12,45,33,6074,0,0,0,0
2001,Flood,46,526,9279,0,0,0,0,0
2001,Hailstorm,18,21,544,7545,0,0,0,0
2001,Landslide,2,4,0,124,0,0,0,0
2001,Storm,7,8,746,74,0,0,0,0
2002,Flash flood,12,98,7596,68244,0,0,0,0
2002,Flood,30,232,67160,0,0,0,0,0
2002,Hailstorm,16,23,983,8670,0,0,0,0
2003,Cyclone,6,22,2,0,0,0,0,0
2003,Flood,19,128,5043,0,0,0,0,0
2003,Hailstorm,14,7,569,5186,0,0,0,0
2003,Landslide,4,14,15,43,0,0,0,0
2003,Storm,17,9,812,4275,0,0,0,0
2004,Cyclone,7,5,39,342,0,0,0,0
2004,Flash flood,9,68,203,7665,0,0,0,0
2004,Flood,30,77,3158,0,0,0,0,0
2004,Hailstorm,20,23,390,6404,0,0,0,0
2004,Landslide,8,60,196,690,0,0,0,0
2004,Storm,5,0,780,1624,0,0,0,0
2005,Cyclone,9,25,75,0,0,0,0,0
2005,Flash flood,9,76,641,8266,0,0,0,0
2005,Flood,34,488,1913,0,0,0,0,0
2005,Hailstorm,26,28,600,14208,0,650,0,0
2005,Landslide,4,22,23,338,0,0,0,0
2005,Storm,30,36,96,885,0,98,0,12620000000
2006,Flood,48,85,396,0,0,31675,0,0
2006,Hailstorm,26,34,360,13067,0,0,0,0
2006,Landslide,7,13,28,6191,0,0,0,0
2006,Storm,41,185,74226,121597,0,0,0,0
2007,Flood,41,268,11626,1903,0,2388454,0,0
2007,Hailstorm,23,16,330,8768,0,0,0,0
2007,Landslide,11,23,64,191,0,0,0,0
2007,Storm,18,74,1445,31219,0,405457,0,0
2008,Flood,75,380,4698,19725,0,209973,0,26383800000
2008,Hailstorm,32,150,387,9491,0,0,0,0
2008,Landslide,6,31,63,85,0,0,0,0
2008,Storm,10,14,52,8857,0,0,0,1.40547E+11
2009,Flood,29,292,66141,4299,0,0,0,33195000000
2009,Storm,7,2,30,31577,0,0,0,1.01831E+11
2010,Rain,14,58,245,161971,0,0,0,2.16092E+12
2010,Storm,7,1,7,31,0,0,0,19258000000
2010,Typhoon,3,1,0,628,0,0,0,0
2019,Flood,1,5,89,0,0,0,0,0
TOTAL,,1470,9946,680873,647859,,8243226,,2.49475E+12
