Year,Event, DataCards, Deaths, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Losses $USD, Losses $Local
1979,SUBSIDENCE,1,0,0,0,0,0,0,0
1981,LIQUEFACTION,1,0,73,0,0,0,0,0
1981,THUNDER STORM,1,0,0,1,0,0,0,0
1982,EARTHQUAKE,2,2500,0,12000,0,0,0,0
1982,LIQUEFACTION,2,0,2000,0,0,0,0,0
1982,RAINS,1,0,20,0,0,0,0,0
1983,SNOWSTORM,1,0,0,0,0,0,0,0
1986,ACCIDENT,1,1,0,0,0,0,0,0
1986,FLOOD,1,0,0,0,0,0,0,0
1986,LANDSLIDE,4,0,0,0,0,0,0,0
1987,LANDSLIDE,1,0,0,0,0,0,0,0
1987,LIQUEFACTION,11,0,0,0,0,0,0,0
1987,RAINS,13,2,1,0,0,0,0,0
1987,THUNDER STORM,1,1,0,0,0,0,0,0
1988,ACCIDENT,1,1,0,0,0,0,0,0
1989,LANDSLIDE,1,0,0,0,0,0,0,0
1989,RAINS,1,0,0,0,0,0,0,0
1989,STRUCTURAL COLLAPSE,1,0,1,0,0,0,0,0
1990,EPIDEMIC,3,23,0,0,0,0,0,0
1990,LANDSLIDE,2,0,0,0,0,0,0,0
1991,Asphyxia,1,0,0,0,0,0,0,0
1991,DROUGHT,1,0,0,0,0,0,0,0
1991,EARTHQUAKE,7,10,1658,7678,0,0,0,0
1991,LANDSLIDE,1,0,0,0,0,0,0,0
1991,LIQUEFACTION,6,0,0,0,0,0,0,0
1991,POLLUTION,2,0,0,0,0,0,0,0
1992,BIOLOGICAL,1,0,0,0,0,0,0,0
1992,EARTHQUAKE,1,0,0,0,0,0,0,0
1992,EPIDEMIC,3,294,0,0,0,0,0,0
1992,LANDSLIDE,2,1,0,0,0,0,0,0
1992,LIQUEFACTION,4,0,0,0,0,0,0,0
1992,RAINS,3,0,0,0,0,0,0,0
1993,LANDSLIDE,2,0,0,1,0,0,0,0
1993,LIQUEFACTION,2,0,0,0,0,0,0,0
1994,BIOLOGICAL,8,0,0,0,0,0,0,0
1994,EPIDEMIC,8,0,0,0,0,0,0,0
1995,EPIDEMIC,193,21,0,0,0,0,0,0
1995,STRUCTURAL COLLAPSE,1,0,1,0,0,0,0,0
1996,BIOLOGICAL,1,0,0,0,0,0,0,0
1996,EPIDEMIC,244,488,0,0,0,0,0,0
1996,FLOOD,6,36,52,1340,0,18000,0,0
1996,LIQUEFACTION,9,101,5405,0,0,1000,0,0
1996,RAINS,3,7,0,0,0,0,0,0
1996,STRUCTURAL COLLAPSE,1,0,0,0,0,0,0,0
1997,EARTHQUAKE,4,0,0,0,0,0,0,0
1997,EPIDEMIC,33,0,0,0,0,0,0,0
1997,LANDSLIDE,1,0,0,0,0,0,0,0
1997,LIQUEFACTION,14,3,3,0,0,0,0,0
1997,RAINS,2,0,0,0,0,0,0,0
1997,STRONG WIND,1,1,0,0,0,0,0,0
1997,STRUCTURAL COLLAPSE,3,3,2,0,0,0,0,0
1998,ACCIDENT,1,1,0,0,0,0,0,0
1998,EARTHQUAKE,1,0,0,0,0,0,0,0
1998,EPIDEMIC,322,0,0,0,0,0,0,0
1998,LANDSLIDE,2,2,0,0,0,0,0,0
1998,LIQUEFACTION,23,29,51,502,0,0,0,0
1998,STRUCTURAL COLLAPSE,2,0,0,7,0,0,0,0
1998,THUNDER STORM,1,21,0,0,0,0,0,0
1999,ACCIDENT,2,2,0,0,0,0,0,0
1999,BIOLOGICAL,1,3,0,0,0,0,0,0
1999,EARTHQUAKE,2,0,0,0,0,0,0,0
1999,EPIDEMIC,90,0,0,0,0,0,0,0
1999,LIQUEFACTION,6,0,1500,1600,0,0,0,25000000
1999,RAINS,2,1,0,0,0,0,0,0
1999,STORM,1,0,0,0,0,0,0,0
1999,STRONG WIND,1,0,0,0,0,0,0,0
1999,THUNDER STORM,1,20,0,0,0,0,0,0
2000,ACCIDENT,2,0,0,0,0,0,0,0
2000,BIOLOGICAL,3,0,0,0,0,0,0,0
2000,EARTHQUAKE,7,0,0,0,0,0,0,0
2000,EPIDEMIC,180,515,0,0,0,0,0,0
2000,HEAT WAVE,1,0,0,0,0,0,0,0
2000,LANDSLIDE,1,0,0,0,0,0,0,0
2000,LIQUEFACTION,7,2,29,0,0,0,0,0
2000,THUNDER STORM,1,1,0,0,0,0,0,0
2001,ACCIDENT,2,1,0,0,0,0,0,0
2001,EARTHQUAKE,3,0,0,0,0,0,0,0
2001,EPIDEMIC,192,405,0,0,0,0,0,0
2001,FLASH FLOOD,1,2,6,0,0,0,0,0
2001,LIQUEFACTION,1,0,12,0,0,0,0,0
2001,STORM,1,0,25,0,0,0,0,0
2001,THUNDER STORM,2,3,0,0,0,0,0,0
2002,ACCIDENT,3,0,0,0,0,0,0,0
2002,EPIDEMIC,208,361,0,0,0,0,0,0
2002,LIQUEFACTION,3,2,0,0,0,0,0,0
2002,THUNDER STORM,2,3,0,1,0,0,0,0
2003,ACCIDENT,4,2,0,0,0,0,0,0
2003,EPIDEMIC,181,578,0,0,0,0,0,0
2003,LIQUEFACTION,10,4,10,51,977,0,0,0
2003,RAINS,1,0,0,0,0,0,0,0
2003,SAND STORM,1,4,0,0,4,0,0,0
2003,THUNDER STORM,1,3,0,0,0,0,0,0
2004,BIOLOGICAL,5,1,0,0,0,0,0,0
2004,EPIDEMIC,182,0,0,0,0,0,0,0
2004,FIRE,2,2,0,1,2,0,0,0
2004,FLOOD,1,4,0,0,0,0,0,0
2004,LIQUEFACTION,5,9,0,0,5,0,0,0
2004,RAINS,1,0,0,0,0,0,0,0
2004,SAND STORM,1,0,0,0,0,0,0,0
2004,THUNDER STORM,6,8,1,0,8,0,0,0
2004,TSUNAMI,1,0,0,0,0,0,0,0
2005,ACCIDENT,3,14,0,0,0,0,0,0
2005,EARTHQUAKE,5,0,0,0,0,0,0,0
2005,EPIDEMIC,206,0,0,0,0,0,0,0
2005,FIRE,1,4,0,1,4,0,0,0
2005,FLASH FLOOD,2,0,0,0,0,0,0,0
2005,LANDSLIDE,1,65,20,0,0,0,0,0
2005,LIQUEFACTION,16,2,0,0,293,0,0,0
2005,RAINS,3,0,0,0,6,0,0,0
2005,STORM,1,1,0,0,0,0,0,0
2005,STRUCTURAL COLLAPSE,1,0,1,0,0,0,0,0
2005,THUNDER STORM,17,80,18,1,14,0,0,0
2006,ACCIDENT,29,0,0,0,0,0,0,0
2006,BIOLOGICAL,1,0,0,0,0,0,0,0
2006,EPIDEMIC,346,0,0,0,0,0,0,0
2006,FIRE,10,3,0,1,3,6,0,0
2006,LANDSLIDE,6,7,0,50,1,237,0,274452976
2006,LIQUEFACTION,10,6,10,50,107,1500,0,0
2006,RAINS,3,8,75,192,0,0,0,0
2006,STRUCTURAL COLLAPSE,11,6,26,6,0,0,0,0
2006,THUNDER STORM,9,40,0,0,0,0,0,0
2007,ACCIDENT,52,25,0,0,0,0,0,0
2007,BIOLOGICAL,4,0,0,0,0,0,0,0
2007,EARTHQUAKE,2,0,0,0,0,0,0,0
2007,EPIDEMIC,695,260,0,0,0,0,0,0
2007,FIRE,1,0,0,0,0,0,0,0
2007,FLASH FLOOD,2,15,0,0,0,0,0,0
2007,FLOOD,18,8,313,558,0,43,0,150000000
2007,LANDSLIDE,20,10,3,0,242,0,0,0
2007,LIQUEFACTION,71,79,119,429,238,14,0,0
2007,RAINS,5,4,86,3,188,0,0,0
2007,STRUCTURAL COLLAPSE,6,0,139,240,0,0,0,0
2007,THUNDER STORM,10,22,0,0,0,0,0,0
2008,ACCIDENT,58,0,0,0,0,0,0,0
2008,EARTHQUAKE,1,0,0,0,0,0,0,0
2008,EPIDEMIC,815,167,0,0,0,0,0,0
2008,FIRE,2,0,0,21,0,0,0,0
2008,FLASH FLOOD,1,0,0,0,0,0,0,0
2008,FLOOD,40,70,896,6063,37,5497,0,13212221121
2008,LANDSLIDE,9,0,0,0,0,0,0,0
2008,LIQUEFACTION,44,11,30,3796,823,44,0,11937903502
