"Year","Event","DataCards","Deaths","Houses.Ruined","Affected","Monetary.LossUSD","Event_Severity","Event_factor"
"1979","SUBSIDENCE",1,0,0,0,0,0,30
"1981","LIQUEFACTION",1,0,73,0,0,0,19
"1981","THUNDER STORM",1,0,1,0,0,0,32
"1982","EARTHQUAKE",2,2500,12000,0,0,125000,9
"1982","LIQUEFACTION",2,0,2000,0,0,0,19
"1982","RAINS",1,0,20,0,0,0,22
"1983","SNOWSTORM",1,0,0,0,0,0,26
"1986","ACCIDENT",1,1,0,0,0,100,1
"1986","FLOOD",1,0,0,0,0,0,15
"1986","LANDSLIDE",4,0,0,0,0,0,18
"1987","LANDSLIDE",1,0,0,0,0,0,18
"1987","LIQUEFACTION",11,0,0,0,0,0,19
"1987","RAINS",13,2,1,0,0,15,22
"1987","THUNDER STORM",1,1,0,0,0,100,32
"1988","ACCIDENT",1,1,0,0,0,100,1
"1989","LANDSLIDE",1,0,0,0,0,0,18
"1989","RAINS",1,0,0,0,0,0,22
"1989","STRUCTURAL COLLAPSE",1,0,1,0,0,0,29
"1990","EPIDEMIC",3,23,0,0,0,767,10
"1990","LANDSLIDE",2,0,0,0,0,0,18
"1991","ASPHYXIA",1,0,0,0,0,0,3
"1991","DROUGHT",1,0,0,0,0,0,8
"1991","EARTHQUAKE",7,10,9336,0,0,143,9
"1991","LANDSLIDE",1,0,0,0,0,0,18
"1991","LIQUEFACTION",6,0,0,0,0,0,19
"1991","POLLUTION",2,0,0,0,0,0,20
"1992","BIOLOGICAL",1,0,0,0,0,0,4
"1992","EARTHQUAKE",1,0,0,0,0,0,9
"1992","EPIDEMIC",3,294,0,0,0,9800,10
"1992","LANDSLIDE",2,1,0,0,0,50,18
"1992","LIQUEFACTION",4,0,0,0,0,0,19
"1992","RAINS",3,0,0,0,0,0,22
"1993","LANDSLIDE",2,0,1,0,0,0,18
"1993","LIQUEFACTION",2,0,0,0,0,0,19
"1994","BIOLOGICAL",8,0,0,0,0,0,4
"1994","EPIDEMIC",8,0,0,0,0,0,10
"1995","EPIDEMIC",193,21,0,0,0,11,10
"1995","STRUCTURAL COLLAPSE",1,0,1,0,0,0,29
"1996","BIOLOGICAL",1,0,0,0,0,0,4
"1996","EPIDEMIC",244,488,0,0,0,200,10
"1996","FLOOD",6,36,1392,18000,0,600,15
"1996","LIQUEFACTION",9,101,5405,1000,0,1122,19
"1996","RAINS",3,7,0,0,0,233,22
"1996","STRUCTURAL COLLAPSE",1,0,0,0,0,0,29
"1997","EARTHQUAKE",4,0,0,0,0,0,9
"1997","EPIDEMIC",33,0,0,0,0,0,10
"1997","LANDSLIDE",1,0,0,0,0,0,18
"1997","LIQUEFACTION",14,3,3,0,0,21,19
"1997","RAINS",2,0,0,0,0,0,22
"1997","STRONG WIND",1,1,0,0,0,100,28
"1997","STRUCTURAL COLLAPSE",3,3,2,0,0,100,29
"1998","ACCIDENT",1,1,0,0,0,100,1
"1998","EARTHQUAKE",1,0,0,0,0,0,9
"1998","EPIDEMIC",322,0,0,0,0,0,10
"1998","LANDSLIDE",2,2,0,0,0,100,18
"1998","LIQUEFACTION",23,29,553,0,0,126,19
"1998","STRUCTURAL COLLAPSE",2,0,7,0,0,0,29
"1998","THUNDER STORM",1,21,0,0,0,2100,32
"1999","ACCIDENT",2,2,0,0,0,100,1
"1999","BIOLOGICAL",1,3,0,0,0,300,4
"1999","EARTHQUAKE",2,0,0,0,0,0,9
"1999","EPIDEMIC",90,0,0,0,0,0,10
"1999","LIQUEFACTION",6,0,3100,0,100000,0,19
"1999","RAINS",2,1,0,0,0,50,22
"1999","STORM",1,0,0,0,0,0,27
"1999","STRONG WIND",1,0,0,0,0,0,28
"1999","THUNDER STORM",1,20,0,0,0,2000,32
"2000","ACCIDENT",2,0,0,0,0,0,1
"2000","BIOLOGICAL",3,0,0,0,0,0,4
"2000","EARTHQUAKE",7,0,0,0,0,0,9
"2000","EPIDEMIC",180,515,0,0,0,286,10
"2000","HEAT WAVE",1,0,0,0,0,0,17
"2000","LANDSLIDE",1,0,0,0,0,0,18
"2000","LIQUEFACTION",7,2,29,0,0,29,19
"2000","THUNDER STORM",1,1,0,0,0,100,32
"2001","ACCIDENT",2,1,0,0,0,50,1
"2001","EARTHQUAKE",3,0,0,0,0,0,9
"2001","EPIDEMIC",192,405,0,0,0,211,10
"2001","FLASH FLOOD",1,2,6,0,0,200,14
"2001","LIQUEFACTION",1,0,12,0,0,0,19
"2001","STORM",1,0,25,0,0,0,27
"2001","THUNDER STORM",2,3,0,0,0,150,32
"2002","ACCIDENT",3,0,0,0,0,0,1
"2002","EPIDEMIC",208,361,0,0,0,174,10
"2002","LIQUEFACTION",3,2,0,0,0,67,19
"2002","THUNDER STORM",2,3,1,0,0,150,32
"2003","ACCIDENT",4,2,0,0,0,50,1
"2003","EPIDEMIC",181,578,0,0,0,319,10
"2003","LIQUEFACTION",10,4,61,977,0,40,19
"2003","RAINS",1,0,0,0,0,0,22
"2003","SAND STORM",1,4,0,4,0,400,24
"2003","THUNDER STORM",1,3,0,0,0,300,32
"2004","BIOLOGICAL",5,1,0,0,0,20,4
"2004","EPIDEMIC",182,0,0,0,0,0,10
"2004","FIRE",2,2,1,2,0,100,13
"2004","FLOOD",1,4,0,0,0,400,15
"2004","LIQUEFACTION",5,9,0,5,0,180,19
"2004","RAINS",1,0,0,0,0,0,22
"2004","SAND STORM",1,0,0,0,0,0,24
"2004","THUNDER STORM",6,8,1,8,0,133,32
"2004","TSUNAMI",1,0,0,0,0,0,34
"2005","ACCIDENT",3,14,0,0,0,467,1
