Year,Event, DataCards, Deaths, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Losses $USD, Losses $Local
1999,STORM,2,0,0,0,0,0,0,10530
2000,FIRE,1,0,0,0,0,14000,0,0
2000,FLOOD,2,0,0,0,0,10,0,0
2001,FLOOD,5,0,14,1128,14,4520,0,0
2004,FLOOD,5,0,0,0,0,36738,0,0
2005,FIRE,1,0,0,15,0,54,0,0
2005,STURTURAL COLLAPSE,1,0,0,0,0,0,0,0
2006,FIRE,1,0,0,0,80,80,0,0
2006,FLOOD,5,1,369,444,6400,6748,0,0
2006,STORM,1,0,1,0,0,0,0,0
2007,FLOOD,6,0,0,0,0,7000,0,0
2008,EPIDEMIC,1,0,0,0,4,4,0,0
2008,FLOOD,13,0,15,55,21000,21040,0,0
2008,STORM,3,0,137,108,0,0,0,0
2008,STURTURAL COLLAPSE,1,0,0,0,0,1,0,0
2009,ANIMAL INCIDENT,1,3,0,0,0,0,0,0
2009,FIRE,4,0,1017,1020,500,547,0,0
2009,FLOOD,29,4,150,1,0,7456,0,1000
2009,HAILSTORM,2,0,0,3,0,19,0,0
2009,STORM,1,0,0,0,0,0,0,0
2009,WINDSTORM,1,0,0,0,0,0,0,0
2010,DROUGHT,1,0,0,0,0,0,0,0
2010,FIRE,1,0,0,0,69,69,0,0
2010,FLOOD,42,0,122,4,0,115,0,0
2010,STORM,5,3,0,0,0,0,0,0
2010,STURTURAL COLLAPSE,2,0,8,0,0,0,0,0
2010,WINDSTORM,2,0,0,0,0,0,0,0
2011,FLOOD,56,0,0,0,0,0,0,466366
2011,HAILSTORM,1,0,0,0,0,0,0,0
2011,STORM,1,0,0,0,0,0,0,0
2011,WINDSTORM,2,0,0,0,0,0,0,0
2012,FIRE,1,0,1,1,3,3,0,0
2012,FLOOD,51,0,0,261,4160,4907,0,0
2012,STORM,5,2,45,47,59,59,0,709775
2012,STURTURAL COLLAPSE,2,0,0,0,0,0,0,0
2012,WINDSTORM,8,0,0,4,0,0,0,0
2013,ANIMAL INCIDENT,5,0,6,7,2375,2375,0,0
2013,DROUGHT,2,0,0,0,0,0,0,0
2013,FIRE,2,0,0,0,31,7,0,700
2013,FLOOD,91,2,335,358,18928,18897,0,71880.06
2013,HAILSTORM,2,0,12,0,0,0,0,0
2013,INSECT INFESTATION,6,0,145,145,1335,610,0,0
2013,STORM,20,0,4,6,219,658,0,6000
2013,STURTURAL COLLAPSE,2,0,0,0,0,0,0,0
2013,WINDSTORM,7,0,0,1,0,0,0,0
2014,FIRE,3,1,1,0,0,0,0,0
2014,FLOOD,46,0,319,370,166,2706,0,0
2014,HAILSTORM,11,0,0,5,24,26,0,0
2014,STORM,18,2,17,116,0,494,0,0
2014,STURTURAL COLLAPSE,12,0,14,43,1,1,0,9000
2014,WINDSTORM,4,0,0,0,0,0,0,96014.25
2015,ANIMAL INCIDENT,2,0,0,0,0,0,0,0
2015,DROUGHT,1,0,0,0,0,0,0,0
2015,FIRE,2,0,0,0,0,0,0,0
2015,FLOOD,31,4,66,171,117,838,9308159.35,0
2015,HAILSTORM,5,0,0,3,0,3,15000,150000
2015,INSECT INFESTATION,4,0,0,0,0,0,0,0
2015,STORM,20,0,0,28,188,188,0,0
2015,STURTURAL COLLAPSE,5,0,1,1,1,1,0,502240
2015,WETLAND LOSS/DEGRADATION,1,0,0,0,0,0,0,0
2015,WINDSTORM,1,0,0,0,0,0,0,0
2016,ANIMAL INCIDENT,2,0,15,15,90,90,0,0
2016,FIRE,4,0,0,17,72,72,0,0
2016,FLOOD,9,0,7,97,210,210,0,0
2016,HAILSTORM,9,0,30,47,62,62,0,0
2016,PEST,155,0,0,0,0,9,0,0
2016,STORM,11,0,87,93,157,162,0,0
2016,STURTURAL COLLAPSE,5,8,34,34,11,11,0,0
2016,WINDSTORM,9,0,0,15,26,2,0,970672.65
2017,ANIMAL INCIDENT,26,0,0,0,6547,34689,0,0
2017,FIRE,1,0,0,0,50,50,0,0
2017,FLOOD,42,9,35,656,4413,6913,0,6516280
2017,HAILSTORM,5,0,18,18,28,28,0,0
2017,INSECT INFESTATION,237,0,0,0,225364,353420,0,0
2017,PEST,1078,0,0,0,0,134517,0,0
2017,STORM,4,0,65,83,0,390,0,0
2017,STURTURAL COLLAPSE,3,2,106,106,440,440,0,0
TOTAL,,2169,41,3196,5526,293144,661239,9323159.35,9510457.96
