"Year","Event","DataCards","Deaths","Houses.Ruined","Affected","Monetary.LossUSD","Event_Severity","Event_factor"
"1999","STORM",2,0,0,0,452,0,9
"2000","FIRE",1,0,0,14000,0,0,4
"2000","FLOOD",2,0,0,10,0,0,5
"2001","FLOOD",5,0,1142,4534,0,0,5
"2004","FLOOD",5,0,0,36738,0,0,5
"2005","FIRE",1,0,15,54,0,0,4
"2005","STURTURAL COLLAPSE",1,0,0,0,0,0,10
"2006","FIRE",1,0,0,160,0,0,4
"2006","FLOOD",5,1,813,13148,0,20,5
"2006","STORM",1,0,1,0,0,0,9
"2007","FLOOD",6,0,0,7000,0,0,5
"2008","EPIDEMIC",1,0,0,8,0,0,3
"2008","FLOOD",13,0,70,42040,0,0,5
"2008","STORM",3,0,245,0,0,0,9
"2008","STURTURAL COLLAPSE",1,0,0,1,0,0,10
"2009","ANIMAL INCIDENT",1,3,0,0,0,300,1
"2009","FIRE",4,0,2037,1047,0,0,4
"2009","FLOOD",29,4,151,7456,43,14,5
"2009","HAILSTORM",2,0,3,19,0,0,6
"2009","STORM",1,0,0,0,0,0,9
"2009","WINDSTORM",1,0,0,0,0,0,12
"2010","DROUGHT",1,0,0,0,0,0,2
"2010","FIRE",1,0,0,138,0,0,4
"2010","FLOOD",42,0,126,115,0,0,5
"2010","STORM",5,3,0,0,0,60,9
"2010","STURTURAL COLLAPSE",2,0,8,0,0,0,10
"2010","WINDSTORM",2,0,0,0,0,0,12
"2011","FLOOD",56,0,0,0,20053,0,5
"2011","HAILSTORM",1,0,0,0,0,0,6
"2011","STORM",1,0,0,0,0,0,9
"2011","WINDSTORM",2,0,0,0,0,0,12
"2012","FIRE",1,0,2,6,0,0,4
"2012","FLOOD",51,0,261,9067,0,0,5
"2012","STORM",5,2,92,118,30520,40,9
"2012","STURTURAL COLLAPSE",2,0,0,0,0,0,10
"2012","WINDSTORM",8,0,4,0,0,0,12
"2013","ANIMAL INCIDENT",5,0,13,4750,0,0,1
"2013","DROUGHT",2,0,0,0,0,0,2
"2013","FIRE",2,0,0,38,30,0,4
"2013","FLOOD",91,2,693,37825,3090,2,5
"2013","HAILSTORM",2,0,12,0,0,0,6
"2013","INSECT INFESTATION",6,0,290,1945,0,0,7
"2013","STORM",20,0,10,877,258,0,9
"2013","STURTURAL COLLAPSE",2,0,0,0,0,0,10
"2013","WINDSTORM",7,0,1,0,0,0,12
"2014","FIRE",3,1,1,0,0,33,4
"2014","FLOOD",46,0,689,2872,0,0,5
"2014","HAILSTORM",11,0,5,50,0,0,6
"2014","STORM",18,2,133,494,0,11,9
"2014","STURTURAL COLLAPSE",12,0,57,2,386,0,10
"2014","WINDSTORM",4,0,0,0,4128,0,12
"2015","ANIMAL INCIDENT",2,0,0,0,0,0,1
"2015","DROUGHT",1,0,0,0,0,0,2
"2015","FIRE",2,0,0,0,0,0,4
"2015","FLOOD",31,4,237,955,9308159,13,5
"2015","HAILSTORM",5,0,3,3,21450,0,6
"2015","INSECT INFESTATION",4,0,0,0,0,0,7
"2015","STORM",20,0,28,376,0,0,9
"2015","STURTURAL COLLAPSE",5,0,2,2,21596,0,10
"2015","WETLAND LOSS/DEGRADATION",1,0,0,0,0,0,11
"2015","WINDSTORM",1,0,0,0,0,0,12
"2016","ANIMAL INCIDENT",2,0,30,180,0,0,1
"2016","FIRE",4,0,17,144,0,0,4
"2016","FLOOD",9,0,104,420,0,0,5
"2016","HAILSTORM",9,0,77,124,0,0,6
"2016","PEST",155,0,0,9,0,0,8
"2016","STORM",11,0,180,319,0,0,9
"2016","STURTURAL COLLAPSE",5,8,68,22,0,160,10
"2016","WINDSTORM",9,0,15,28,41738,0,12
"2017","ANIMAL INCIDENT",26,0,0,41236,0,0,1
"2017","FIRE",1,0,0,100,0,0,4
"2017","FLOOD",42,9,691,11326,280200,21,5
"2017","HAILSTORM",5,0,36,56,0,0,6
"2017","INSECT INFESTATION",237,0,0,578784,0,0,7
"2017","PEST",1078,0,0,134517,0,0,8
"2017","STORM",4,0,148,390,0,0,9
"2017","STURTURAL COLLAPSE",3,2,212,880,0,67,10
